maxAge,endDate,totalRevenue,costOfRevenue,grossProfit,researchDevelopment,sellingGeneralAdministrative,nonRecurring,otherOperatingExpenses,totalOperatingExpenses,operatingIncome,totalOtherIncomeExpenseNet,ebit,interestExpense,incomeBeforeTax,incomeTaxExpense,minorityInterest,netIncomeFromContinuingOps,discontinuedOperations,extraordinaryItems,effectOfAccountingCharges,otherItems,netIncome,netIncomeApplicableToCommonShares,type,kode
1.0,2021-12-31,24322048000000.0,19442136000000.0,4879912000000.0,{},1078466000000,{},735112000000,21255714000000.0,3066334000000,-153165000000.0,3066334000000.0,-374061000000,2913169000000,845807000000.0,551981000000,2067362000000,{},{},{},{},1971365000000.0,1971365000000,A,AALI.JK
1.0,2020-12-31,18807043000000.0,15809752000000.0,2997291000000.0,{},1012305000000,{},276574000000,17098631000000.0,1708412000000,-245777000000.0,1708412000000.0,-392795000000,1462635000000,568856000000.0,495301000000,893779000000,{},{},{},{},833090000000.0,833090000000,A,AALI.JK
1.0,2019-12-31,17452736000000.0,15308230000000.0,2144506000000.0,{},1106917000000,{},77281000000,16492428000000.0,960308000000,-299448000000.0,960308000000.0,-338329000000,660860000000,417231000000.0,457374000000,243629000000,{},{},{},{},211117000000.0,211117000000,A,AALI.JK
1.0,2018-12-31,19084387000000.0,15544881000000.0,3539506000000.0,{},1129976000000,{},83624000000,16758481000000.0,2325906000000,-118826000000.0,2325906000000.0,-214200000000,2207080000000,686357000000.0,484893000000,1520723000000,{},{},{},{},1438511000000.0,1438511000000,A,AALI.JK
1.0,2022-06-30,4383457000000.0,3575390000000.0,808067000000.0,{},349999000000,{},-139723000000,3785666000000.0,597791000000,-103031000000.0,597791000000.0,-106223000000,494760000000,162846000000.0,520973000000,331914000000,{},{},{},{},325861000000.0,325861000000,Q,AALI.JK
1.0,2022-03-31,6581321000000.0,5568793000000.0,1012528000000.0,{},290318000000,{},-49183000000,5809928000000.0,771393000000,-62754000000.0,771393000000.0,-91456000000,708639000000,202938000000.0,574230000000,505701000000,{},{},{},{},483452000000.0,483452000000,Q,AALI.JK
1.0,2021-12-31,6307579000000.0,5180136000000.0,1127443000000.0,{},298121000000,{},125053000000,5603310000000.0,704269000000,-15409000000.0,704269000000.0,-92194000000,688860000000,165615000000.0,551981000000,523245000000,{},{},{},{},502178000000.0,502178000000,Q,AALI.JK
1.0,2021-09-30,7182390000000.0,5742061000000.0,1440329000000.0,{},279781000000,{},51835000000,6073677000000.0,1108713000000,4670000000.0,1108713000000.0,-93599000000,1113383000000,264446000000.0,529948000000,848937000000,{},{},{},{},819845000000.0,819845000000,Q,AALI.JK
1.0,2021-12-31,168792972085.0,94106617646.0,74686354439.0,{},92757458346,{},{},189947859486.0,-21154887401,-12475624302.0,-21154887401.0,-4364389855,-33630511703,2263441310.0,-108310961460,-35893953013,{},{},{},{},-22277461051.0,-22277461051,A,ABBA.JK
1.0,2020-12-31,158607888337.0,86179414359.0,72428473978.0,{},113569082000,{},{},211025378619.0,-52417490282,4258291619.0,-52417490282.0,-5723411506,-48159198663,10172673313.0,-93926878943,-58331871976,{},{},{},{},-44896235179.0,-44896235179,A,ABBA.JK
1.0,2019-12-31,251087852516.0,151148306430.0,99939546086.0,{},128609287537,{},{},284473954684.0,-33386102168,-9602360047.0,-33386102168.0,-8585015630,-42988462215,1298706254.0,-15063439445,-44287168469,{},{},{},{},-32542540065.0,-32542540065,A,ABBA.JK
1.0,2018-12-31,212841846116.0,122162588776.0,90679257340.0,{},128931307343,{},{},252416985653.0,-39575139537,-1752520284.0,-39575139537.0,-9466907654,-41327659821,-5155170502.0,-3194936224,-36172489319,{},{},{},{},-19602781732.0,-19602781732,A,ABBA.JK
1.0,2022-06-30,32701532524.0,18856406750.0,13845125774.0,{},28801560959,{},83154333,47741122042.0,-15039589518,-1092069631.0,-15039589518.0,-923526421,-16131659149,335640110.0,-113620922262,-16467299259,{},{},{},{},-13855519383.0,-13855519383,Q,ABBA.JK
1.0,2022-03-31,25585639199.0,12163548395.0,13422090804.0,{},23206711388,{},83154333,35370259783.0,-9784620584,60895449.0,-9784620584.0,-476742429,-9723725135,286897572.0,-111009142386,-10010622707,{},{},{},{},-7312441781.0,-7312441781,Q,ABBA.JK
1.0,2021-12-31,51388640081.0,33515743168.0,17872896913.0,{},11100040186,{},83154333,47699566848.0,3689073233,-6221677444.0,3689073233.0,-1554743154,-2532604211,1317215988.0,-108310961460,-3849820199,{},{},{},{},-3513251312.0,-3513251312,Q,ABBA.JK
1.0,2021-09-30,45860126165.0,15418980075.0,30441146090.0,{},35754994058,{},-2918388189,40613032452.0,5247093713,-2185384056.0,5247093713.0,-912450345,3061709657,527579200.0,-106931404735,2534130457,{},{},{},{},4815855999.0,4815855999,Q,ABBA.JK
1.0,2021-12-31,772860557000.0,300583370000.0,472277187000.0,{},284745743000,{},249000000,585578113000.0,187282444000,4533946000.0,187282444000.0,{},191816390000,34465321000.0,63836000,157351069000,{},{},{},{},157363230000.0,157363230000,A,ABDA.JK
1.0,2020-12-31,919101685000.0,395265526000.0,523836159000.0,{},323699593000,{},72000000,719037119000.0,200064566000,-15683231000.0,200064566000.0,{},184381335000,46191048000.0,75896000,138190287000,{},{},{},{},138203753000.0,138203753000,A,ABDA.JK
1.0,2019-12-31,1093766568000.0,656618503000.0,437148065000.0,{},329115512000,{},86000000,985820015000.0,107946553000,654893000.0,107946553000.0,{},108601446000,21077104000.0,90043000,87524342000,{},{},{},{},87523919000.0,87523919000,A,ABDA.JK
1.0,2018-12-31,1239402512000.0,764975321000.0,474427191000.0,{},400938093000,{},597000000,1166510414000.0,72892098000,1901123000.0,72892098000.0,{},74793221000,5682828000.0,89512000,69110393000,{},{},{},{},69109403000.0,69109403000,A,ABDA.JK
1.0,2022-06-30,186246225000.0,84081187000.0,102165038000.0,{},88384084000,{},{},172465271000.0,13780954000,668196000.0,13780954000.0,{},14449150000,2535224000.0,60289000,11913926000,{},{},{},{},11916694000.0,11916694000,Q,ABDA.JK
1.0,2022-03-31,221810077000.0,79286750000.0,142523327000.0,{},73805453000,{},{},153092203000.0,68717874000,182072000.0,68717874000.0,{},68899946000,13462801000.0,62890000,55437145000,{},{},{},{},55437924000.0,55437924000,Q,ABDA.JK
1.0,2021-12-31,171671603000.0,82794787000.0,88876816000.0,{},46571746000,{},{},129366533000.0,42305070000,4180659000.0,42305070000.0,{},46485729000,5189554000.0,63836000,41296175000,{},{},{},{},41298863000.0,41298863000,Q,ABDA.JK
1.0,2021-09-30,195060756000.0,70216432000.0,124844324000.0,{},71814607000,{},{},142031039000.0,53029717000,-238967000.0,53029717000.0,{},52790750000,10483002000.0,66423000,42307748000,{},{},{},{},42311000000.0,42311000000,Q,ABDA.JK
1.0,2021-12-31,1021865474.0,655508696.0,366356778.0,{},60085720,{},-5602205,709992211.0,311873263,-64082149.0,311873263.0,-57495838,247791114,61607211.0,11202862,186183903,{},{},{},{},148003867.0,148003867,A,ABMM.JK
1.0,2020-12-31,606407376.0,504892363.0,101515013.0,{},54081458,{},-1229407,581767614.0,24639762,-48570980.0,24639762.0,-43910233,-23931218,13808846.0,-23188491,-37740064,{},{},{},{},-35659427.0,-35659427,A,ABMM.JK
1.0,2019-12-31,592394952.0,484564191.0,107830761.0,{},58340764,{},-7499564,535174537.0,57220415,-37545415.0,57220415.0,-36576834,19922221,16028257.0,-21154266,3893964,{},{},{},{},7556445.0,7556445,A,ABMM.JK
1.0,2018-12-31,773057131.0,598842999.0,174214132.0,{},65276308,{},4376512,623278260.0,149778871,-56153183.0,149778871.0,-46711791,93625688,26398030.0,-16762228,67227658,{},{},{},{},65492582.0,65492582,A,ABMM.JK
1.0,2022-06-30,365508366.0,222355573.0,143152793.0,{},21615509,{},3467061,247438143.0,118070223,-3869949.0,118070223.0,-9288783,114200274,26042265.0,56576077,88158009,{},{},{},{},63697707.0,63697707,Q,ABMM.JK
1.0,2022-03-31,286701627.0,185628333.0,101073294.0,{},19750439,{},35102,205413874.0,81287753,-9116938.0,81287753.0,-9798013,72170815,19468392.0,32115775,52702423,{},{},{},{},31789510.0,31789510,Q,ABMM.JK
1.0,2021-12-31,319048989.0,181762535.0,137286454.0,{},18850390,{},-6260520,194352405.0,124696584,-26035725.0,124696584.0,-18585456,98660859,21200106.0,11202862,77460753,{},{},{},{},53549598.0,53549598,Q,ABMM.JK
