maxAge,endDate,cash,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,longTermInvestments,propertyPlantEquipment,goodWill,otherAssets,deferredLongTermAssetCharges,totalAssets,accountsPayable,shortLongTermDebt,otherCurrentLiab,longTermDebt,otherLiab,minorityInterest,totalCurrentLiabilities,totalLiab,commonStock,retainedEarnings,treasuryStock,capitalSurplus,otherStockholderEquity,totalStockholderEquity,netTangibleAssets,type,kode,intangibleAssets,shortTermInvestments,deferredLongTermLiab
1.0,2021-12-31,3896022000000.0,584217000000.0,3381506000000.0,1552463000000.0,9414208000000.0,404815000000.0,17781227000000.0,55951000000.0,2743705000000.0,626433000000.0,30399906000000.0,1026717000000.0,3564461000000.0,1151304000000.0,2253611000000.0,1014726000000.0,551981000000.0,5960396000000.0,9228733000000.0,962344000000.0,16003068000000.0,-225215000000.0,3878995000000.0,-225215000000.0,20619192000000.0,20563241000000.0,A,AALI.JK,,,
1.0,2020-12-31,978892000000.0,1389984000000.0,2505048000000.0,1063966000000.0,5937890000000.0,255530000000.0,17741481000000.0,55951000000.0,3790379000000.0,723020000000.0,27781231000000.0,770264000000.0,,763411000000.0,5858300000000.0,882631000000.0,495301000000.0,1792506000000.0,8533437000000.0,962344000000.0,14496958000000.0,-585804000000.0,3878995000000.0,-585804000000.0,18752493000000.0,18696542000000.0,A,AALI.JK,,,
1.0,2019-12-31,383366000000.0,758244000000.0,2261187000000.0,1069214000000.0,4472011000000.0,167067000000.0,18030998000000.0,55951000000.0,4248097000000.0,825031000000.0,26974124000000.0,826845000000.0,,335162000000.0,5635004000000.0,793828000000.0,457374000000.0,1566765000000.0,7995597000000.0,962344000000.0,13843880000000.0,-164066000000.0,3878995000000.0,-164066000000.0,18521153000000.0,18465202000000.0,A,AALI.JK,,,
1.0,2018-12-31,49082000000.0,663429000000.0,2679699000000.0,1108418000000.0,4500628000000.0,172966000000.0,18135744000000.0,55951000000.0,3991678000000.0,838940000000.0,26856967000000.0,1088831000000.0,,612405000000.0,3606303000000.0,699612000000.0,484893000000.0,3076530000000.0,7382445000000.0,962344000000.0,14181734000000.0,-33444000000.0,3878995000000.0,-33444000000.0,18989629000000.0,18933678000000.0,A,AALI.JK,,,
1.0,2022-06-30,1956801000000.0,754435000000.0,4713719000000.0,1965637000000.0,9390592000000.0,285069000000.0,17684734000000.0,55951000000.0,2817647000000.0,518843000000.0,30233993000000.0,825934000000.0,3711070000000.0,413476000000.0,2220370000000.0,1030996000000.0,520973000000.0,5633435000000.0,8884801000000.0,962344000000.0,16121418000000.0,-134538000000.0,3878995000000.0,-134538000000.0,20828219000000.0,20772268000000.0,Q,AALI.JK,,,
1.0,2022-03-31,3993025000000.0,582307000000.0,3857962000000.0,1889731000000.0,10323025000000.0,327580000000.0,17700249000000.0,55951000000.0,2825972000000.0,612126000000.0,31232777000000.0,1142178000000.0,3585390000000.0,1088326000000.0,2237339000000.0,1030176000000.0,574230000000.0,6257746000000.0,9525261000000.0,962344000000.0,16486520000000.0,-194573000000.0,3878995000000.0,-194573000000.0,21133286000000.0,21077335000000.0,Q,AALI.JK,,,
1.0,2021-12-31,3896022000000.0,584217000000.0,3381506000000.0,1552463000000.0,9414208000000.0,404815000000.0,17781227000000.0,55951000000.0,2743705000000.0,626433000000.0,30399906000000.0,1026717000000.0,3564461000000.0,1151304000000.0,2253611000000.0,1014726000000.0,551981000000.0,5960396000000.0,9228733000000.0,962344000000.0,16003068000000.0,-225215000000.0,3878995000000.0,-225215000000.0,20619192000000.0,20563241000000.0,Q,AALI.JK,,,
1.0,2021-09-30,3874116000000.0,815521000000.0,2803189000000.0,1453648000000.0,8951689000000.0,381012000000.0,17522235000000.0,55951000000.0,2783124000000.0,549309000000.0,29694011000000.0,863952000000.0,,968904000000.0,5827698000000.0,860837000000.0,529948000000.0,2425777000000.0,9114312000000.0,962344000000.0,15460754000000.0,-252342000000.0,3878995000000.0,-252342000000.0,20049751000000.0,19993800000000.0,Q,AALI.JK,,,
1.0,2021-12-31,18722391189.0,21755083675.0,4781436941.0,5162401081.0,52749343689.0,392875168332.0,22752989817.0,,37471462127.0,9705609139.0,524632899688.0,56088496208.0,29009884649.0,17060302280.0,155581846124.0,55065440865.0,-108310961460.0,145859034017.0,359762454698.0,275512500000.0,-263519274075.0,261188180525.0,,261188180525.0,273181406450.0,254397470727.0,A,ABBA.JK,18783935723.0,,
1.0,2020-12-31,26724525401.0,16157478757.0,4693147657.0,3094788374.0,51154210366.0,85987569725.0,27904198759.0,,34822493057.0,11245022562.0,221650737019.0,45748128616.0,31057321565.0,13722476986.0,123027780992.0,69064236233.0,-93926878943.0,129435398780.0,325359955177.0,275512500000.0,-242142193688.0,-43152645527.0,,-43152645527.0,-9782339215.0,-31564604327.0,A,ABBA.JK,21782265112.0,,
