maxAge,endDate,netIncome,depreciation,changeToNetincome,changeToLiabilities,totalCashFromOperatingActivities,capitalExpenditures,otherCashflowsFromInvestingActivities,totalCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,totalCashFromFinancingActivities,effectOfExchangeRate,changeInCash,netBorrowings,type,kode,investments,issuanceOfStock,repurchaseOfStock,changeToOperatingActivities,changeToAccountReceivables
1.0,2021-12-31,1971365000000.0,1282462000000.0,1641292000000.0,0.0,4895119000000.0,-1229482000000.0,42794000000.0,-1186688000000.0,-490745000000.0,-400657000000.0,-891402000000.0,100101000000.0,2917130000000.0,,A,AALI.JK,,,,,
1.0,2020-12-31,833090000000.0,1336899000000.0,152175000000.0,0.0,2322164000000.0,-999198000000.0,42794000000.0,-999198000000.0,-175130000000.0,-442815000000.0,-767945000000.0,40505000000.0,595526000000.0,-150000000000.0,A,AALI.JK,,,,,
1.0,2019-12-31,211117000000.0,1472767000000.0,-391531000000.0,0.0,1292353000000.0,-1307383000000.0,42794000000.0,-1307383000000.0,-431091000000.0,-395365000000.0,334094000000.0,15220000000.0,334284000000.0,1160550000000.0,A,AALI.JK,,,,,
1.0,2018-12-31,1438511000000.0,1260173000000.0,-653449000000.0,0.0,2045235000000.0,-1608768000000.0,-69999000000.0,-1678767000000.0,-835247000000.0,-299085000000.0,-609332000000.0,29654000000.0,-213210000000.0,525000000000.0,A,AALI.JK,,,,,
1.0,2022-06-30,325861000000.0,-313273000000.0,-916333000000.0,0.0,-903745000000.0,-289662000000.0,,-289662000000.0,-690893000000.0,-160434000000.0,-851327000000.0,8510000000.0,-2036224000000.0,,Q,AALI.JK,,,,,
1.0,2022-03-31,483452000000.0,313273000000.0,-477811000000.0,0.0,318914000000.0,-211541000000.0,28698000000.0,-182843000000.0,-690893000000.0,-95901000000.0,-95901000000.0,56833000000.0,97003000000.0,,Q,AALI.JK,,,,,
1.0,2021-12-31,502178000000.0,368144000000.0,-114039000000.0,0.0,756283000000.0,-548803000000.0,42794000000.0,-506009000000.0,-196298000000.0,-62203000000.0,-258501000000.0,30133000000.0,21906000000.0,,Q,AALI.JK,,,,,
1.0,2021-09-30,819845000000.0,305690000000.0,614106000000.0,0.0,1739641000000.0,-298761000000.0,42794000000.0,-298761000000.0,-196298000000.0,-101387000000.0,-101387000000.0,2305000000.0,1341798000000.0,,Q,AALI.JK,,,,,
1.0,2021-12-31,-22277461051.0,10630828538.0,-16747450890.0,0.0,-28394083403.0,-1674948578.0,,-1742949792.0,,-7926817489.0,22134898983.0,,-8002134212.0,30061716472.0,A,ABBA.JK,-800000000.0,,,,
1.0,2020-12-31,-44896235179.0,11581751163.0,-17148646354.0,0.0,-50463130370.0,-951932115.0,,-912232115.0,,23837732219.0,54723741668.0,,3348379183.0,30886009449.0,A,ABBA.JK,-800000000.0,,,,
1.0,2019-12-31,-32542540065.0,11430430668.0,8941654091.0,0.0,-12170455306.0,-1012718580.0,612694084.0,-1017894083.0,,-1859002251.0,410713013.0,,-12777636376.0,2269715264.0,A,ABBA.JK,-800000000.0,,,,
1.0,2018-12-31,-19602781732.0,12718257493.0,-14997713894.0,0.0,-21882238133.0,-2175271897.0,539906492.0,-2211768602.0,,-2579766656.0,12685815932.0,,-11408190803.0,15265582588.0,A,ABBA.JK,-800000000.0,,,,
1.0,2022-06-30,-13855519383.0,3603037767.0,-5498141935.0,0.0,-15750623551.0,-282708500.0,,-290685430.0,,-912120988.0,5015675626.0,,-11025633355.0,5064636510.0,Q,ABBA.JK,-7976930.0,863160104.0,,,
1.0,2022-03-31,-7312441781.0,1876001196.0,1390050036.0,0.0,-4046390549.0,-282708500.0,,7976930.0,,-3574802468.0,165805422238.0,,161767008619.0,-7734953844.0,Q,ABBA.JK,7976930.0,177115178550.0,,,
1.0,2021-12-31,-3513251312.0,3269964335.0,-35354277405.0,0.0,-35597564382.0,-1348236121.0,,-1416237335.0,,-18501700299.0,40194567227.0,,3180765510.0,58696267526.0,Q,ABBA.JK,-800000000.0,177115178550.0,,,
1.0,2021-09-30,4815855999.0,1462656757.0,23574156605.0,0.0,29852669361.0,-17647000.0,,1065640800.0,,21149765524.0,-29846961734.0,,1071348427.0,-50996727258.0,Q,ABBA.JK,800000000.0,177115178550.0,,,
1.0,2021-12-31,157363230000.0,9355532000.0,-285509790000.0,0.0,-118791028000.0,-14743790000.0,135008922000.0,-106545679000.0,-41594048000.0,,-41594048000.0,,-266930755000.0,,A,ABDA.JK,-226934777000.0,,,,
1.0,2020-12-31,138203753000.0,9073017000.0,-369333856000.0,0.0,-222057086000.0,-4966673000.0,164779799000.0,-115253497000.0,-37248401000.0,,-37248401000.0,,-374558984000.0,,A,ABDA.JK,-276618757000.0,,,,
