emiten,tanggal,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,deferredLongTermLiab
BBCA.JK,2021-12-31,424091000000.0,5548977000000.0,1025495746000000.0,202712762000000.0,136172000000.0,16764717000000.0,1228344680000000.0,1540938000000.0,81967172000000.0,179580121000000.0,25591009000000.0,1158201000000.0,16042726000000.0,624060965000000.0,111482987000000.0,998991290000000.0,5525516000000.0,1281352000000.0,16042726000000.0,22169299000000.0,356299708000000.0,224232416000000.0,201130470000000.0,157951348000000.0,606760000000.0,582022000000.0,1401658000000.0,980243977000000.0,
BBCA.JK,2020-12-31,471419000000.0,5548977000000.0,890855547000000.0,184596326000000.0,118383000000.0,14894632000000.0,1075570256000000.0,1540938000000.0,41074883000000.0,160539695000000.0,27051721000000.0,1158201000000.0,16966716000000.0,582433454000000.0,78788132000000.0,862371048000000.0,4880722000000.0,1140566000000.0,16966716000000.0,21915054000000.0,277039027000000.0,192553101000000.0,182966706000000.0,151776751000000.0,407175000000.0,1112306000000.0,1528414000000.0,845598658000000.0,
BBCA.JK,2019-12-31,521622000000.0,5548977000000.0,744846156000000.0,174042931000000.0,100225000000.0,10848907000000.0,918989312000000.0,1540938000000.0,62748552000000.0,155114148000000.0,22286279000000.0,855830000000.0,11838868000000.0,606791761000000.0,65162871000000.0,721220547000000.0,3184290000000.0,1971664000000.0,11838868000000.0,20852301000000.0,146985093000000.0,142982705000000.0,172665479000000.0,11304061000000.0,296709000000.0,1339330000000.0,1036258000000.0,706733068000000.0,153402000000.0
BBCA.JK,2018-12-31,511706000000.0,5548977000000.0,673034517000000.0,151659684000000.0,93743000000.0,13286769000000.0,824787944000000.0,1540938000000.0,59745177000000.0,135568861000000.0,19312622000000.0,167625000000.0,9000908000000.0,557917715000000.0,59763251000000.0,652990750000000.0,3147666000000.0,1927065000000.0,9000908000000.0,19336901000000.0,137773334000000.0,109080663000000.0,150980353000000.0,11321625000000.0,226213000000.0,731145000000.0,536754000000.0,636907823000000.0,140005000000.0
BBRI.JK,2021-12-31,,76242898000000.0,1386310930000000.0,288734983000000.0,3051821000000.0,32750238000000.0,1678097734000000.0,7577950000000.0,72424801000000.0,185009048000000.0,37967365000000.0,,19905087000000.0,1012816788000000.0,97468950000000.0,1269940609000000.0,16284898000000.0,75272171000000.0,19951084000000.0,47970187000000.0,239501504000000.0,377809255000000.0,288734983000000.0,56759205000000.0,7097638000000.0,78402956000000.0,63922000000.0,1148312518000000.0,4358420000000.0
BBRI.JK,2020-12-31,,3411813000000.0,1380598462000000.0,226916051000000.0,2550831000000.0,24430292000000.0,1610065344000000.0,6167291000000.0,64926607000000.0,166972167000000.0,66210450000000.0,,50364780000000.0,1000536820000000.0,120165356000000.0,1236896249000000.0,9885990000000.0,94373565000000.0,52013856000000.0,43706632000000.0,248039092000000.0,317782800000000.0,226916051000000.0,49608166000000.0,8231376000000.0,77491763000000.0,67211000000.0,1102829369000000.0,3161845000000.0
BBRI.JK,2019-12-31,,2900994000000.0,1207974504000000.0,206323433000000.0,2460903000000.0,17230709000000.0,1416758840000000.0,6167291000000.0,85661529000000.0,181327431000000.0,48083245000000.0,,15927717000000.0,915310746000000.0,165489980000000.0,1099893475000000.0,4541298000000.0,60913128000000.0,18033731000000.0,31432629000000.0,283532132000000.0,186483333000000.0,206323433000000.0,25636391000000.0,3883865000000.0,59997784000000.0,65104000000.0,1006909101000000.0,2055609000000.0
BBRI.JK,2018-12-31,,2692663000000.0,1111622961000000.0,182967543000000.0,2307788000000.0,20256111000000.0,1296898292000000.0,6167291000000.0,86863588000000.0,163130389000000.0,40683920000000.0,,10977200000000.0,853092855000000.0,144597706000000.0,1011268460000000.0,5114653000000.0,50829973000000.0,13396148000000.0,26914859000000.0,248321832000000.0,168568746000000.0,182967543000000.0,9596553000000.0,4948622000000.0,59670581000000.0,231776000000.0,929654928000000.0,2251490000000.0
TLKM.JK,2021-12-31,7988000000000.0,2711000000000.0,131785000000000.0,121646000000000.0,23753000000000.0,25275000000000.0,277184000000000.0,4953000000000.0,4755000000000.0,104587000000000.0,15909000000000.0,1090000000000.0,9395000000000.0,9534000000000.0,38311000000000.0,69131000000000.0,3824000000000.0,9690000000000.0,9395000000000.0,183495000000000.0,61277000000000.0,13800000000000.0,112568000000000.0,429000000000.0,11725000000000.0,36319000000000.0,779000000000.0,2650000000000.0,1608000000000.0
TLKM.JK,2020-12-31,6780000000000.0,2711000000000.0,126054000000000.0,102527000000000.0,18362000000000.0,24941000000000.0,246943000000000.0,4953000000000.0,5266000000000.0,94489000000000.0,16179000000000.0,1303000000000.0,374000000000.0,8631000000000.0,20589000000000.0,69093000000000.0,3578000000000.0,9350000000000.0,374000000000.0,179489000000000.0,46503000000000.0,4237000000000.0,94444000000000.0,1229000000000.0,13443000000000.0,30561000000000.0,983000000000.0,3164000000000.0,1254000000000.0
