emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,inventory,accountsPayable,shortLongTermDebt,longTermDebt,intangibleAssets,goodWill,deferredLongTermAssetCharges
STTP.JK,2021-12-31,1347146100.0,618395061219.0,3269618046834.0,31230575695.0,335513552.0,107949265462.0,3919243683748.0,131000000000.0,6996110.0,3131561870573.0,143022906804.0,5709030161.0,346685429860.0,207073828564.0,475372154415.0,5709030161.0,1552703249576.0,1979855004312.0,40000000000.0,3269618046834.0,877690000000.0,521121086089.0,370462800672.0,307376074920.0,,,,,
STTP.JK,2020-12-31,1347146100.0,775696860738.0,2642210368411.0,31087830733.0,587148717.0,119795031629.0,3448995059882.0,131000000000.0,6613230974.0,2514055848672.0,149565657189.0,-4192626361.0,364133696620.0,143139894175.0,626131203549.0,-4192626361.0,1538988540784.0,1505872822478.0,40000000000.0,2642210368411.0,574690000000.0,480936363602.0,298779166160.0,255487700935.0,199863049179.0,,,,
STTP.JK,2019-12-31,1347146100.0,733556075974.0,2117035201913.0,30971806067.0,838783882.0,114001648819.0,2881563083954.0,131000000000.0,5129918734.0,1985498393789.0,125455258334.0,-810337976.0,591636494564.0,100727141756.0,408490550651.0,-810337976.0,1124520287704.0,1165406301686.0,,2117035201913.0,126000000000.0,600492717423.0,325140268152.0,203738548137.0,,199610266989.0,,,
STTP.JK,2018-12-31,1347146100.0,984801863078.0,1630565397523.0,15822549429.0,1090419047.0,65765101626.0,2631189810030.0,131000000000.0,79846377219.0,1502876626810.0,108745055973.0,-4658375387.0,275489706698.0,64106808475.0,676673564908.0,-4658375387.0,1096143561950.0,1250806822918.0,8749718464.0,1630565397523.0,341315161701.0,444351997610.0,313291338820.0,232453396104.0,299690770049.0,199383242197.0,,,
LPKR.JK,2021-12-31,11467162000000.0,29594927000000.0,18751979000000.0,3734030000000.0,,5294294000000.0,52080936000000.0,7089802000000.0,951908000000.0,-8271890000000.0,2166954000000.0,8466905000000.0,4446128000000.0,4888494000000.0,9605967000000.0,8534755000000.0,11109411000000.0,31374902000000.0,4469362000000.0,18070846000000.0,245948000000.0,1668221000000.0,23409584000000.0,669178000000.0,186633000000.0,12122260000000.0,130893000000.0,550240000000.0,91783000000.0
LPKR.JK,2020-12-31,10509171000000.0,28291825000000.0,19477479000000.0,4096176000000.0,,5614699000000.0,51865480000000.0,7089802000000.0,920057000000.0,-6617294000000.0,2291512000000.0,8495800000000.0,5169776000000.0,2993464000000.0,10573858000000.0,8620749000000.0,8787101000000.0,33078230000000.0,4162665000000.0,18809771000000.0,334773000000.0,1982159000000.0,26607446000000.0,939437000000.0,182884000000.0,12002555000000.0,117468000000.0,550240000000.0,140185000000.0
LPKR.JK,2019-12-31,10529940000000.0,20703246000000.0,28775017000000.0,5601322000000.0,,3861844000000.0,55079585000000.0,7089802000000.0,1988819000000.0,3004896000000.0,2399781000000.0,8150379000000.0,3960780000000.0,4685129000000.0,6881251000000.0,8366903000000.0,5369030000000.0,37197250000000.0,7791859000000.0,28014351000000.0,346251000000.0,2316863000000.0,27501173000000.0,968315000000.0,94259000000.0,11332465000000.0,94073000000.0,666593000000.0,107271000000.0
LPKR.JK,2018-12-31,4080770000000.0,24336392000000.0,17737909000000.0,7009159000000.0,,4539729000000.0,49083460000000.0,2307769000000.0,2434940000000.0,5021807000000.0,2874546000000.0,6327563000000.0,4668107000000.0,1818430000000.0,8204921000000.0,6544087000000.0,5397911000000.0,33046506000000.0,5263312000000.0,17030285000000.0,363255000000.0,2673202000000.0,25403046000000.0,1170048000000.0,111162000000.0,13125521000000.0,123645000000.0,583979000000.0,66774000000.0
MTDL.JK,2021-12-31,183179000000.0,3666139000000.0,2763107000000.0,1159546000000.0,,956837000000.0,7588792000000.0,122769000000.0,681751000000.0,2285277000000.0,141336000000.0,171882000000.0,275619000000.0,1656604000000.0,3524803000000.0,171882000000.0,288968000000.0,6960341000000.0,63864000000.0,2763107000000.0,,2449241000000.0,1888617000000.0,1863215000000.0,,,,,18941000000.0
MTDL.JK,2020-12-31,183179000000.0,2432893000000.0,2335918000000.0,1079792000000.0,,711185000000.0,5848603000000.0,122769000000.0,598205000000.0,1867244000000.0,156189000000.0,162726000000.0,290037000000.0,1848847000000.0,2269803000000.0,162726000000.0,300395000000.0,5197938000000.0,60233000000.0,2335918000000.0,,1694063000000.0,792158000000.0,1054833000000.0,,,,,29757000000.0
MTDL.JK,2019-12-31,183179000000.0,2582422000000.0,2098854000000.0,944001000000.0,,341015000000.0,5625277000000.0,122769000000.0,343519000000.0,1624497000000.0,128573000000.0,168409000000.0,247394000000.0,757516000000.0,2436976000000.0,168409000000.0,300244000000.0,5015457000000.0,62182000000.0,2098854000000.0,,2235915000000.0,1560201000000.0,1622634000000.0,,,,,29119000000.0
MTDL.JK,2018-12-31,183179000000.0,2252545000000.0,1804546000000.0,795685000000.0,,236844000000.0,4852776000000.0,122769000000.0,276069000000.0,1328810000000.0,105427000000.0,169788000000.0,190070000000.0,681234000000.0,2095378000000.0,169788000000.0,292093000000.0,4294397000000.0,76216000000.0,1804546000000.0,,1913769000000.0,1330857000000.0,1481309000000.0,9215000000.0,11111000000.0,,,24626000000.0
TOBA.JK,2021-12-31,130131454.0,503876557.0,284900286.0,69325041.0,,38483793.0,858101884.0,44077885.0,5531283.0,196915457.0,38742200.0,-86224510.0,541162097.0,68816720.0,120093721.0,-86224510.0,83457904.0,209018706.0,19908960.0,280346069.0,,117598020.0,15520343.0,30470920.0,43955881.0,344897861.0,,4554217.0,4271289.0
TOBA.JK,2020-12-31,130131454.0,480957627.0,234077039.0,56837121.0,,33705456.0,771871787.0,44077885.0,1501162.0,148428163.0,40507827.0,-88560463.0,524776752.0,25006841.0,96121076.0,-88560463.0,97284194.0,70359369.0,63988907.0,218614474.0,,14441989.0,28580150.0,13615470.0,43636714.0,342977105.0,,15462565.0,5302946.0
TOBA.JK,2019-12-31,130131454.0,370500569.0,209893481.0,54246406.0,,38226658.0,634640456.0,44077885.0,2001164.0,122626242.0,38238304.0,-86942100.0,356258040.0,20915825.0,91929716.0,-86942100.0,116460304.0,84538694.0,62951275.0,195461338.0,,16999725.0,43369309.0,32048635.0,17918691.0,240332549.0,,14432143.0,4577136.0
TOBA.JK,2018-12-31,130131454.0,286259322.0,183150415.0,32473457.0,,44315133.0,501883194.0,44077885.0,1767369.0,96371341.0,24296395.0,-87430265.0,161578774.0,57389309.0,115958768.0,-87430265.0,120978858.0,141942144.0,62951275.0,168718272.0,,32158392.0,49794723.0,44810241.0,16573729.0,145986147.0,,14432143.0,4868766.0
SOHO.JK,2021-12-31,1061098000000.0,1813628000000.0,2207679000000.0,612000000.0,,135759000000.0,4021919000000.0,634584000000.0,171253000000.0,512680000000.0,141039000000.0,-683000000.0,203683000000.0,953297000000.0,1654049000000.0,-683000000.0,447580000000.0,3341171000000.0,3919000000.0,2182113000000.0,,1094733000000.0,1118690000000.0,1285340000000.0,,,25566000000.0,,112681000000.0
SOHO.JK,2020-12-31,1061098000000.0,1974141000000.0,2204436000000.0,1666000000.0,,121186000000.0,4180243000000.0,634584000000.0,189944000000.0,509437000000.0,152443000000.0,-683000000.0,280921000000.0,903571000000.0,1797440000000.0,-683000000.0,462833000000.0,3405989000000.0,3919000000.0,2177855000000.0,,1256908000000.0,1052894000000.0,1495917000000.0,,,26581000000.0,,107648000000.0
SOHO.JK,2019-12-31,165086000000.0,1955092000000.0,1312406000000.0,1587000000.0,,89343000000.0,3269085000000.0,357939000000.0,98007000000.0,357981000000.0,121301000000.0,431400000000.0,455400000000.0,263055000000.0,1833791000000.0,431400000000.0,401396000000.0,2377771000000.0,3919000000.0,1281807000000.0,,1081603000000.0,914016000000.0,1012512000000.0,514212000000.0,,30599000000.0,,82019000000.0
SOHO.JK,2018-12-31,165086000000.0,1582878000000.0,1205038000000.0,1350000000.0,,92341000000.0,2789266000000.0,357939000000.0,216453000000.0,250613000000.0,96464000000.0,431400000000.0,173382000000.0,274418000000.0,1004370000000.0,431400000000.0,411848000000.0,2166023000000.0,3919000000.0,1170944000000.0,,925475000000.0,735818000000.0,713660000000.0,,482044000000.0,34094000000.0,,70082000000.0
DMAS.JK,2021-12-31,379730372583.0,762768422674.0,5348178804911.0,2994375769.0,,667837825016.0,6113941603354.0,4819811110000.0,153079857492.0,148637322328.0,62356230735.0,,2390109450107.0,598937798447.0,700412191939.0,,459296071279.0,3165390132316.0,99145949652.0,5348178804911.0,,12353488.0,2412572972638.0,31346252036.0,,,,,
DMAS.JK,2020-12-31,379730372583.0,1224176089310.0,5524519992846.0,3537157948.0,,1146144256563.0,6752233240104.0,4819811110000.0,71860891947.0,324978510263.0,56494394564.0,,2481639375787.0,1375357411446.0,1166978278475.0,,440495036351.0,3741930229375.0,88168598591.0,5524519992846.0,,39743747005.0,2253940964453.0,9742671501.0,,,,,
DMAS.JK,2019-12-31,379730372583.0,1121231243313.0,6492333843328.0,3405942979.0,,998696288367.0,7616971029620.0,4819811110000.0,49148268791.0,1292792360745.0,40950546545.0,,3053975555082.0,666865442923.0,1080280696768.0,,462361350629.0,4009185451871.0,91448672038.0,6492333843328.0,,1091575444490.0,2199580895012.0,31092709407.0,,,,,
DMAS.JK,2018-12-31,379730372583.0,311529808844.0,7184994906922.0,3508719606.0,,250528495676.0,7500033435372.0,4819811110000.0,33424908496.0,1985453424339.0,32123663260.0,,3411460615786.0,744929332880.0,279406145584.0,,423766692670.0,3567619991194.0,97186135722.0,7184994906922.0,,84562153859.0,2703086360404.0,2099451051.0,,,,,
ERAA.JK,2021-12-31,598405873000.0,4909863586000.0,6138939787000.0,323421883000.0,,770194956000.0,11372225256000.0,1595000000000.0,411940468000.0,4004389103000.0,191204867000.0,-58855189000.0,2206528047000.0,520695374000.0,4279452623000.0,-49894254000.0,1667646971000.0,6624347489000.0,105849071000.0,5371086109000.0,,1051574928000.0,4623602317000.0,1513820417000.0,143584245000.0,214293892000.0,170890448000.0,596963230000.0,118204022000.0
ERAA.JK,2020-12-31,594376207000.0,5523372852000.0,5408794245000.0,279201945000.0,,743153450000.0,11211369042000.0,1595000000000.0,323063501000.0,3211412210000.0,201011275000.0,8005828000.0,1529934871000.0,2002049759000.0,5142950705000.0,16966763000.0,1372421483000.0,7546995255000.0,35487768000.0,4682264580000.0,,1584032996000.0,3626574345000.0,2088240562000.0,98715000.0,,99218240000.0,627311425000.0,108912003000.0
ERAA.JK,2019-12-31,594376207000.0,4768986646000.0,4821803944000.0,156912608000.0,,337920963000.0,9747703198000.0,1595000000000.0,341790398000.0,2619893958000.0,152857177000.0,12533779000.0,1450173436000.0,571288865000.0,4615531135000.0,12533779000.0,614540334000.0,6944525743000.0,28573260000.0,4111913519000.0,,1644118179000.0,4182732264000.0,1434566788000.0,436840000.0,397723000.0,101551031000.0,608339394000.0,81373676000.0
ERAA.JK,2018-12-31,594376207000.0,7857284389000.0,4692790634000.0,132827603000.0,,522938376000.0,12682902626000.0,1595000000000.0,431469496000.0,2484327506000.0,114950965000.0,19086921000.0,1345038534000.0,272102741000.0,7740591920000.0,19086921000.0,553675716000.0,10053691913000.0,16616204000.0,3978910375000.0,,1989955945000.0,7194668862000.0,2806644867000.0,638932000.0,839899000.0,105018259000.0,608862000000.0,66459581000.0
