emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,longTermDebt,inventory,accountsPayable,shortLongTermDebt,intangibleAssets,minorityInterest,netReceivables,goodWill,deferredLongTermLiab
MAYA.JK,2021-12-31,8364829000000.0,105125905000000.0,13978280000000.0,187749000000.0,119104185000000.0,1338539000000.0,8987516000000.0,3386171000000.0,455621000000.0,888741000000.0,69865117000000.0,12552403000000.0,102878781000000.0,66887000000.0,888741000000.0,1666074000000.0,40441282000000.0,7131712000000.0,13978280000000.0,8246664000000.0,1791503000000.0,10132204000000.0,102180966000000.0,,,,,,
MAYA.JK,2020-12-31,6870014000000.0,79603549000000.0,12914476000000.0,146694000000.0,92518025000000.0,838544000000.0,4937003000000.0,3315451000000.0,522592000000.0,1890467000000.0,54065200000000.0,8294656000000.0,77292320000000.0,54289000000.0,1890467000000.0,1701947000000.0,31803816000000.0,4947062000000.0,12914476000000.0,,1788637000000.0,18048601000000.0,75127286000000.0,255005000000.0,,,,,
MAYA.JK,2019-12-31,6870014000000.0,81066862000000.0,12341969000000.0,175020000000.0,93408831000000.0,838544000000.0,6462344000000.0,3886100000000.0,602751000000.0,747311000000.0,69118788000000.0,3571959000000.0,78423775000000.0,,747311000000.0,1365010000000.0,17145012000000.0,5780021000000.0,12341969000000.0,6832693000000.0,2040336000000.0,108742000000.0,77011909000000.0,697998000000.0,,,,,
MAYA.JK,2018-12-31,5918225000000.0,76183319000000.0,10788574000000.0,131834000000.0,86971893000000.0,792994000000.0,5774080000000.0,3331393000000.0,589623000000.0,745962000000.0,63613743000000.0,6955351000000.0,72148906000000.0,,745962000000.0,1479816000000.0,18823890000000.0,3054444000000.0,10788574000000.0,5820640000000.0,3444790000000.0,103943000000.0,71516703000000.0,,,,,,
EPMT.JK,2021-12-31,276480262616.0,2882998501598.0,6831085432589.0,269041429062.0,9729919645520.0,135432000000.0,204896093953.0,6432991557069.0,106628370925.0,-13818387096.0,61040309852.0,1324602373881.0,2767290257087.0,46178296959.0,-13818387096.0,1525779285688.0,8128487195074.0,100000000.0,6816572577683.0,243463958986.0,,3167904578310.0,2463167428736.0,,14512854906.0,15835711333.0,3170431600195.0,,
EPMT.JK,2020-12-31,276480262616.0,2652274698711.0,6542589036710.0,210833309894.0,9211731059218.0,135432000000.0,160488933403.0,6126838414153.0,107600604537.0,3838359941.0,70751715256.0,1619355914623.0,2533986369290.0,44291730380.0,3838359941.0,1581411855418.0,7540695065075.0,100000000.0,6523816613241.0,172469651617.0,,2317034726081.0,2298573058407.0,,18772423469.0,16867323797.0,3263890112391.0,,
EPMT.JK,2019-12-31,276480262616.0,2575650387235.0,6128081727958.0,195586064117.0,8704958834283.0,135432000000.0,143683022642.0,5690018074475.0,111696870012.0,26151390867.0,138471572480.0,1041234710289.0,2463953517223.0,57648356942.0,26151390867.0,1433166129304.0,7120602478197.0,100000000.0,6115463073656.0,180597949021.0,,2395775983266.0,2209801177873.0,,12618654302.0,1226719090.0,3324677848056.0,,
EPMT.JK,2018-12-31,276480262616.0,2535106096057.0,5786788882068.0,205932291408.0,8322960974230.0,135432000000.0,162747201354.0,5353165755879.0,92250390844.0,21710863573.0,137830713547.0,1262648169142.0,2442855705213.0,55354184984.0,21710863573.0,1215546692942.0,6960395955329.0,100000000.0,5777701269656.0,164317425723.0,,2315474243547.0,2220019102512.0,,9087612412.0,1065996105.0,3027611129503.0,,
INPP.JK,2021-12-31,1963984085832.0,3027511364432.0,5203324913420.0,181734851198.0,8745700244235.0,1118197173200.0,125887430416.0,2154701965225.0,1060242505890.0,-33558310837.0,4618208396044.0,518753168611.0,504518233153.0,103866428448.0,-33558310837.0,1608513777280.0,1717754709377.0,801223361534.0,5203324913420.0,,1434185003784.0,989400401156.0,88711336331.0,150607737661.0,,514863966383.0,77601435005.0,,
INPP.JK,2020-12-31,1963984085832.0,1885064829152.0,5203729876158.0,112476894701.0,7657106251566.0,1118197173200.0,65170929420.0,2155106927963.0,352414813559.0,-33558310837.0,3993048252820.0,437631210362.0,203665590134.0,78478559971.0,-33558310837.0,2045163369703.0,755878224090.0,863016404953.0,5203729876158.0,,1305720041242.0,184402037822.0,15000801719.0,33669027013.0,,568311546256.0,60744295015.0,,
INPP.JK,2019-12-31,1962934005628.0,1658261945713.0,5733708394510.0,184076761932.0,7989904868957.0,1118197173200.0,48939449333.0,2686277483605.0,227603970186.0,-33700267923.0,4480724202244.0,627640216025.0,355689886062.0,50412010704.0,-33700267923.0,1664070274986.0,863338618425.0,904405146430.0,5656341767638.0,,1074807825372.0,116713103540.0,12460885280.0,93480865574.0,77366626872.0,597934528734.0,62107345256.0,,
INPP.JK,2018-12-31,1962955201150.0,2608374670866.0,3742415562901.0,614229385644.0,6964734840779.0,1118197173200.0,59100985105.0,672049439896.0,190406140657.0,-10786251345.0,837619117357.0,582976697117.0,732693107709.0,49622510926.0,-10786251345.0,1565556730495.0,755359080833.0,3749279316155.0,3685494966962.0,,1685016289929.0,49989597422.0,16574687748.0,49043974778.0,56920595939.0,613944607012.0,56764528649.0,,
TURI.JK,2021-12-31,13713000000.0,2557751000000.0,4230602000000.0,616489000000.0,6800389000000.0,139500000000.0,58777000000.0,4078942000000.0,227211000000.0,-1553000000.0,225418000000.0,1313286000000.0,1861587000000.0,67700000000.0,-1553000000.0,2410373000000.0,2939807000000.0,1224791000000.0,4230602000000.0,,468953000000.0,921784000000.0,359370000000.0,228998000000.0,,12036000000.0,617656000000.0,,
TURI.JK,2020-12-31,13713000000.0,1894136000000.0,3860196000000.0,393720000000.0,5764700000000.0,139500000000.0,51417000000.0,3725201000000.0,220401000000.0,-18218000000.0,232076000000.0,953333000000.0,1285031000000.0,58299000000.0,-18218000000.0,2278226000000.0,2175603000000.0,1078795000000.0,3860196000000.0,,388704000000.0,701552000000.0,275831000000.0,301569000000.0,,10368000000.0,441595000000.0,,
TURI.JK,2019-12-31,13713000000.0,2343292000000.0,3938870000000.0,362254000000.0,6292705000000.0,139500000000.0,91500000000.0,3817520000000.0,223956000000.0,-31863000000.0,214460000000.0,482696000000.0,1643989000000.0,63193000000.0,-31863000000.0,2389109000000.0,2415825000000.0,1273311000000.0,3938870000000.0,,475347000000.0,1287133000000.0,322218000000.0,312409000000.0,,10543000000.0,517822000000.0,,
TURI.JK,2018-12-31,13713000000.0,2480929000000.0,3544693000000.0,373530000000.0,6035844000000.0,139500000000.0,85638000000.0,3410379000000.0,221868000000.0,-18899000000.0,308389000000.0,362155000000.0,1641842000000.0,64740000000.0,-18899000000.0,2262132000000.0,2381375000000.0,1083948000000.0,3544693000000.0,,617219000000.0,1333476000000.0,413996000000.0,263832000000.0,,10222000000.0,563786000000.0,,
KPIG.JK,2021-12-31,537216175130.0,6440802030527.0,24262955706177.0,152757102970.0,30912009095198.0,8062572666400.0,470493614995.0,5579387040391.0,96651868316.0,10083779824256.0,2604808459250.0,89064523547.0,2935640641433.0,36473961526.0,10083779824256.0,23912886647952.0,2255183478661.0,2137685667685.0,24261510864527.0,,3391635715080.0,1426548304493.0,190899126334.0,1684654705465.0,,208251358494.0,269077035626.0,1444841650.0,
KPIG.JK,2020-12-31,537216175130.0,6148351780187.0,23020643325187.0,134416192915.0,29427611990774.0,8062572666400.0,485197853379.0,5379677749110.0,122616513949.0,9041176734547.0,2610995982852.0,67287686149.0,2299087333681.0,44735507797.0,9041176734547.0,22174630029177.0,2091534731157.0,2549006405938.0,23019198483537.0,,3701919624330.0,1340185596376.0,271357663387.0,1319904004150.0,,258616885400.0,198863595253.0,1444841650.0,
KPIG.JK,2019-12-31,537216175130.0,5493772770208.0,22770395212122.0,150896005149.0,28574866571647.0,8062572666400.0,519737552043.0,5071425390091.0,129789060889.0,9099180980501.0,2627903834126.0,181823223105.0,1556545290288.0,42658461581.0,9099180980501.0,21125903887419.0,2145400897775.0,2674213110677.0,22768950370472.0,,3790853803238.0,1251949048148.0,204155936890.0,891568130283.0,,310698589317.0,191891074479.0,1444841650.0,
KPIG.JK,2018-12-31,347364662784.0,4581999271798.0,12683769608263.0,148717968251.0,17521363545763.0,7407912279000.0,1015301598804.0,4816350085680.0,154922242892.0,112142580799.0,2661232268307.0,289241072355.0,1048185860149.0,42655604458.0,112142580799.0,10380148194256.0,2680879975091.0,1797658266459.0,12682324766613.0,,3376943797434.0,1153046157549.0,207536693969.0,473373667326.0,,255594665702.0,223291146383.0,1444841650.0,
CENT.JK,2021-12-31,129009000000.0,5475750000000.0,2221176000000.0,315333000000.0,7696926000000.0,3118346000000.0,86889000000.0,-1035914000000.0,190268000000.0,9735000000.0,384308000000.0,301499000000.0,805780000000.0,1275000000.0,9735000000.0,5613499000000.0,792371000000.0,3021000000.0,1317449000000.0,,4458421000000.0,9568000000.0,203057000000.0,113734000000.0,2230000000.0,,374554000000.0,901497000000.0,
CENT.JK,2020-12-31,129009000000.0,5157414000000.0,2471739000000.0,204969000000.0,7629153000000.0,3118346000000.0,95576000000.0,-721683000000.0,165485000000.0,-53933000000.0,256061000000.0,552377000000.0,4983388000000.0,6083000000.0,-53933000000.0,5347881000000.0,1116644000000.0,3021000000.0,1566193000000.0,,,11056000000.0,238301000000.0,703146000000.0,4049000000.0,,434665000000.0,901497000000.0,
CENT.JK,2019-12-31,129009000000.0,2714193000000.0,3014892000000.0,188905000000.0,5729085000000.0,3118346000000.0,63146000000.0,-206398000000.0,143807000000.0,-26065000000.0,638430000000.0,563111000000.0,1255977000000.0,44546000000.0,-26065000000.0,2896487000000.0,1285023000000.0,4180000000.0,2109927000000.0,122845000000.0,1313338000000.0,9768000000.0,154428000000.0,399397000000.0,3468000000.0,,369598000000.0,901497000000.0,
CENT.JK,2018-12-31,129009000000.0,2168918000000.0,3038424000000.0,170511000000.0,5207342000000.0,3118346000000.0,24624000000.0,-215310000000.0,146248000000.0,6379000000.0,756662000000.0,455909000000.0,778970000000.0,52883000000.0,6379000000.0,2601811000000.0,940154000000.0,4180000000.0,2133889000000.0,,1241900000000.0,11671000000.0,82981000000.0,325948000000.0,3038000000.0,,317715000000.0,901497000000.0,
SIMP.JK,2021-12-31,2495125000000.0,16193066000000.0,15667881000000.0,948716000000.0,35979302000000.0,3163262000000.0,1570352000000.0,10456320000000.0,3315305000000.0,-446826000000.0,3216656000000.0,3726293000000.0,9159909000000.0,387555000000.0,-185665000000.0,19613531000000.0,9527236000000.0,1301056000000.0,13347058000000.0,,3706612000000.0,2655342000000.0,754620000000.0,586220000000.0,,4118355000000.0,1558325000000.0,2320823000000.0,27529000000.0
