emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,inventory,accountsPayable,shortLongTermDebt,longTermDebt,goodWill,longTermInvestments,deferredLongTermLiab,shortTermInvestments,intangibleAssets
UNIC.JK,2021-12-31,19104388.0,51998377.0,231862906.0,8862499.0,18160924.0,292723782.0,90198298.0,4228494.0,160097398.0,3137187.0,-37537178.0,35140312.0,81055743.0,47757509.0,7981661.0,-37537178.0,22089806.0,235493664.0,231862906.0,39101646.0,110151722.0,22941403.0,,,,,,,
UNIC.JK,2020-12-31,19104388.0,43542406.0,190331785.0,8382180.0,8131632.0,242256371.0,90198298.0,222444.0,117528674.0,5051173.0,-36499575.0,35687337.0,61811686.0,37344463.0,8793993.0,-36499575.0,23397875.0,183171159.0,190331785.0,37280789.0,82537668.0,22852117.0,,,,,,,
UNIC.JK,2019-12-31,19104388.0,43552524.0,167275179.0,8929718.0,3128230.0,219757421.0,90198298.0,1089834.0,96067262.0,4700936.0,-38094769.0,34525628.0,12157925.0,38851588.0,11113610.0,-38094769.0,25557199.0,159674594.0,167275179.0,39090077.0,106523790.0,25580759.0,,,,,,,
UNIC.JK,2018-12-31,19104388.0,70077695.0,157389277.0,8943416.0,6066058.0,236410388.0,90198298.0,2399064.0,86444071.0,3513626.0,-38357480.0,31070607.0,26043452.0,66564069.0,8721555.0,-38357480.0,28937672.0,176402109.0,157389277.0,34060059.0,113129808.0,26994621.0,367495.0,,,,,,
CLEO.JK,2021-12-31,243992958730.0,346601683606.0,1001579893307.0,,21114830695.0,1348181576913.0,240000000000.0,5584925433.0,518387182577.0,71118220171.0,-800248000.0,38944483062.0,4761050331.0,182882815706.0,,,1029432971137.0,279804122714.0,1001579893307.0,125895726118.0,137919765586.0,72188847311.0,46732333301.0,90533646478.0,,,,,
CLEO.JK,2020-12-31,259247087919.0,416194010942.0,894746110680.0,,24830694334.0,1310940121622.0,240000000000.0,4650550571.0,395629022761.0,66602592772.0,-130000000.0,60578488537.0,22890468010.0,147545013406.0,,,996173967945.0,254187665140.0,894746110680.0,119841600369.0,101777866019.0,55598942187.0,47823517013.0,195682983159.0,,,,,
CLEO.JK,2019-12-31,261819311770.0,478844867693.0,766299436026.0,,37021153271.0,1245144303719.0,240000000000.0,2916257702.0,264480124256.0,57437366790.0,,77426810406.0,6843501828.0,204953165337.0,,,926961764182.0,240755729131.0,766299436026.0,123419188074.0,100969311975.0,84632513808.0,22167415968.0,207445422048.0,,,,,
CLEO.JK,2018-12-31,259861635427.0,198455391702.0,635477886486.0,583406.0,17547951014.0,833933861594.0,240000000000.0,2959611045.0,135616251059.0,46342296066.0,,84910638252.0,2681860260.0,121061155519.0,2518742350.0,,550478901276.0,198544322066.0,635477886486.0,90824024194.0,97450111811.0,81468342743.0,4819553845.0,27485257659.0,,,,,
BOGA.JK,2021-12-31,35267300.0,348920970898.0,464709493614.0,121529664.0,43424413905.0,813751994176.0,380352621000.0,4755365772.0,84168085666.0,2828885122.0,153519648.0,5971662253.0,455119481305.0,326331232749.0,47746324.0,153519648.0,268483514251.0,530063304122.0,455475980064.0,38433126630.0,30227885118.0,40879465792.0,5723404063.0,19760853027.0,9233513550.0,,,,
BOGA.JK,2020-12-31,35267300.0,157984685515.0,437058376656.0,96202801.0,25888723220.0,595139264972.0,380352621000.0,7344597667.0,56742609749.0,2479046347.0,-72121393.0,157605165600.0,73883550927.0,133446046804.0,161649671.0,-72121393.0,268080362792.0,160220223030.0,427824863106.0,42130267549.0,35720471063.0,56614044428.0,12064627520.0,22059592364.0,9233513550.0,,,,
BOGA.JK,2019-12-31,35267300.0,152457530324.0,427387134759.0,91346079.0,7484853891.0,579936011162.0,380352621000.0,2121721759.0,47062429119.0,1436235841.0,-63182660.0,153224085612.0,40430531675.0,120597236241.0,119213755.0,-63182660.0,268225729856.0,149252682144.0,418153621209.0,42419558798.0,62917223072.0,70472515494.0,12762345832.0,30424058242.0,9233513550.0,,,,
BOGA.JK,2018-12-31,32476400.0,154218935589.0,417604740667.0,77758492.0,17991736534.0,571901434748.0,380324764000.0,2790078761.0,37247500267.0,981758233.0,,100643845525.0,28908575307.0,129218836670.0,93026900.0,,290715142153.0,171308933520.0,408371227117.0,45712208743.0,92538206782.0,62775810576.0,8652654076.0,24018340686.0,9233513550.0,,,,
DSNG.JK,2021-12-31,679260000000.0,6686697000000.0,6900337000000.0,125126000000.0,400575000000.0,13712160000000.0,211997000000.0,421098000000.0,3974755000000.0,433175000000.0,2034325000000.0,1091831000000.0,422378000000.0,1856163000000.0,200356000000.0,2034325000000.0,9606972000000.0,2321635000000.0,6674458000000.0,269347000000.0,1200030000000.0,361172000000.0,586273000000.0,4388257000000.0,225879000000.0,465843000000.0,,,
DSNG.JK,2020-12-31,677092000000.0,7920634000000.0,6121741000000.0,109008000000.0,491847000000.0,14151383000000.0,211997000000.0,606927000000.0,3382377000000.0,449746000000.0,1850275000000.0,1565758000000.0,647709000000.0,2293012000000.0,119267000000.0,1935240000000.0,9286656000000.0,2613109000000.0,5895862000000.0,403264000000.0,944134000000.0,416093000000.0,622580000000.0,5172392000000.0,225879000000.0,459981000000.0,,,
