emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,intangibleAssets,goodWill,deferredLongTermAssetCharges,longTermInvestments,shortTermInvestments,deferredLongTermLiab
TCPI.JK,2021-12-31,287995000000.0,1307023000000.0,1439790000000.0,100483000000.0,3314000000.0,2847296000000.0,500000000000.0,131937000000.0,609640000000.0,17393000000.0,42155000000.0,114017000000.0,131500000000.0,954930000000.0,233626000000.0,42155000000.0,1970557000000.0,762722000000.0,1439790000000.0,464344000000.0,333873000000.0,34941000000.0,252989000000.0,,,,,,
TCPI.JK,2020-12-31,287995000000.0,1320653000000.0,1338907000000.0,92651000000.0,10970000000.0,2752211000000.0,500000000000.0,69158000000.0,527470000000.0,17219000000.0,23442000000.0,115690000000.0,34134000000.0,936229000000.0,260143000000.0,23442000000.0,1864670000000.0,771851000000.0,1338907000000.0,583002000000.0,363773000000.0,21022000000.0,240910000000.0,,,,,,
TCPI.JK,2019-12-31,287995000000.0,1638619000000.0,1344989000000.0,93927000000.0,7400000000.0,3077535000000.0,500000000000.0,46180000000.0,501536000000.0,15746000000.0,55458000000.0,110593000000.0,241081000000.0,976285000000.0,242751000000.0,55458000000.0,1994065000000.0,972877000000.0,1344989000000.0,609120000000.0,635762000000.0,33066000000.0,356439000000.0,,,,,,
TCPI.JK,2018-12-31,287995000000.0,1512864000000.0,1154494000000.0,88373000000.0,14802000000.0,2755731000000.0,500000000000.0,21517000000.0,304738000000.0,16694000000.0,61761000000.0,110733000000.0,133857000000.0,774242000000.0,202290000000.0,61761000000.0,1844703000000.0,800295000000.0,1154494000000.0,608186000000.0,704695000000.0,13522000000.0,228818000000.0,,,,,,
BUKA.JK,2021-12-31,27535082984000.0,3119931208000.0,23469657286000.0,25961463000.0,333396559000.0,26615549957000.0,5153100968000.0,286960706000.0,-9327845361000.0,79801522000.0,109318695000.0,305266373000.0,24700386748000.0,3007454642000.0,,109318695000.0,113873361000.0,25848765146000.0,23178352096000.0,192502405000.0,,1272646000.0,114473284000.0,75594830000.0,215710360000.0,294948021000.0,56339887000.0,642608129000.0,
BUKA.JK,2020-12-31,6623547557000.0,985821769000.0,1597226239000.0,10609429000.0,329534622000.0,2593657437000.0,2508277911000.0,52099359000.0,-7654886018000.0,52830017000.0,120286789000.0,483407532000.0,1484437936000.0,881991424000.0,,120286789000.0,335017116000.0,1769815305000.0,1594957361000.0,176926867000.0,,,72192147000.0,2268878000.0,,477792167000.0,3148606000.0,39936912000.0,
BUKA.JK,2019-12-31,6004734202000.0,898466506000.0,1155186225000.0,,277431579000.0,2053652731000.0,1417372911000.0,126214408000.0,-6302968771000.0,67926791000.0,36047883000.0,148450628000.0,883986972000.0,830539715000.0,,36047883000.0,451566793000.0,1442608568000.0,1152112510000.0,398552277000.0,,,62080694000.0,3073715000.0,,,7953027000.0,18353704000.0,
BUKA.JK,2018-12-31,5410293507000.0,1108221882000.0,1959878521000.0,192000.0,613161529000.0,3068100595000.0,7246789000.0,166187060000.0,-3507618771000.0,28074741000.0,49956996000.0,20164546000.0,2049299693000.0,1080147141000.0,,49956996000.0,536139184000.0,2497405607000.0,1955821504000.0,228603110000.0,,,134820266000.0,4057017000.0,,,10334241000.0,17082858000.0,
MYOR.JK,2021-12-31,330005500.0,8557621869393.0,11118707150388.0,241324245747.0,257785181763.0,19917653265528.0,447173994500.0,818029709294.0,10683916958291.0,1062096837525.0,-12713807903.0,410858285390.0,3009380167931.0,5570773468770.0,2322752268890.0,-12713807903.0,6537011105495.0,12969783874643.0,11118707150388.0,6079369030833.0,1845215526928.0,3034214212009.0,1777944528256.0,,,50345713262.0,,,
MYOR.JK,2020-12-31,330005500.0,8506032464592.0,11011069905567.0,260398144391.0,451682717576.0,19777500514550.0,447173994500.0,591506989878.0,10571377924687.0,1180299052182.0,-7812019120.0,667006172133.0,3777791432101.0,3559336027729.0,960417784421.0,-7812019120.0,6271765180323.0,12838729162094.0,11011069905567.0,5632222984143.0,3614219145017.0,2805111592211.0,1591796554882.0,,,104876456480.0,,,
MYOR.JK,2019-12-31,330005500.0,9125978611155.0,9674413679800.0,237526515518.0,283654457426.0,19037918806473.0,447173994500.0,562687660991.0,9230875521684.0,1025238915375.0,-3965841884.0,1586852205735.0,2982004859009.0,3714359539201.0,421923583261.0,-3965841884.0,4674963819225.0,12776102781513.0,9674413679800.0,6402968849667.0,4386380156579.0,2790633951514.0,1312182938037.0,,,96055409948.0,,,
