emiten,tanggal,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,goodWill
BNGA.JK,2021-12-31,2033222000000.0,7033450000000.0,267398602000000.0,43377122000000.0,11236000000.0,147687000000.0,6415333000000.0,310786960000000.0,1612257000000.0,17413915000000.0,31020341000000.0,2987676000000.0,3711074000000.0,170235346000000.0,37716983000000.0,261032157000000.0,1173614000000.0,4603551000000.0,3963551000000.0,6622810000000.0,66711095000000.0,65184487000000.0,41343900000000.0,1589656000000.0,2685597000000.0,2965126000000.0,238652000000.0,242666598000000.0,
BNGA.JK,2020-12-31,1765210000000.0,7033450000000.0,239890554000000.0,41038939000000.0,14112000000.0,160183000000.0,6078259000000.0,280943605000000.0,1612257000000.0,14008496000000.0,27925467000000.0,2361245000000.0,4467765000000.0,163977136000000.0,21808921000000.0,230836689000000.0,738427000000.0,1255205000000.0,4721597000000.0,6989721000000.0,51034490000000.0,57177048000000.0,39273729000000.0,2305523000000.0,2866791000000.0,6468016000000.0,299174000000.0,209166480000000.0,
BNGA.JK,2019-12-31,1704049000000.0,7033450000000.0,231173061000000.0,43278891000000.0,15275000000.0,145707000000.0,7135267000000.0,274467227000000.0,1612257000000.0,19805589000000.0,31444773000000.0,609763000000.0,3188411000000.0,188994403000000.0,21033550000000.0,223855795000000.0,18458000000.0,5263797000000.0,3441690000000.0,6248281000000.0,46499403000000.0,31021091000000.0,41574842000000.0,522857000000.0,1500989000000.0,6707503000000.0,58348000000.0,196964886000000.0,
BNGA.JK,2018-12-31,1596278000000.0,7033450000000.0,227200919000000.0,39579574000000.0,1005000000.0,199488000000.0,8072146000000.0,266781498000000.0,1612257000000.0,20720508000000.0,28491930000000.0,512591000000.0,2441937000000.0,183603192000000.0,17280161000000.0,221194232000000.0,99863000000.0,3713994000000.0,2692258000000.0,5453282000000.0,43748606000000.0,32380140000000.0,37983296000000.0,593593000000.0,1579439000000.0,5494096000000.0,216309000000.0,192363911000000.0,
TKIM.JK,2021-12-31,,29215000.0,1405896000.0,1755938000.0,,,32514000.0,3161834000.0,684810000.0,50406000.0,1050375000.0,70937000.0,-8462000.0,83797000.0,205555000.0,677560000.0,1548000.0,67424000.0,-8462000.0,880455000.0,805333000.0,1392249000.0,1755938000.0,194055000.0,48399000.0,656679000.0,282369000.0,143145000.0,
TKIM.JK,2020-12-31,,29215000.0,1560687000.0,1512477000.0,,,29310000.0,3073164000.0,684810000.0,39046000.0,806740000.0,80991000.0,-8288000.0,133785000.0,161734000.0,605512000.0,1178000.0,72388000.0,-8288000.0,930833000.0,837038000.0,1171508000.0,1512477000.0,274066000.0,69471000.0,868714000.0,261810000.0,129858000.0,
TKIM.JK,2019-12-31,,29215000.0,1677008000.0,1385323000.0,,,29091000.0,3062331000.0,684810000.0,49720000.0,675973000.0,85134000.0,-4675000.0,142398000.0,182983000.0,540366000.0,2154000.0,64303000.0,-4675000.0,1011158000.0,879074000.0,1029701000.0,1385323000.0,261948000.0,106090000.0,1042576000.0,251475000.0,61904000.0,
TKIM.JK,2018-12-31,,29215000.0,1729951000.0,1235185000.0,,,25253000.0,2965136000.0,684810000.0,62188000.0,520278000.0,66460000.0,882000.0,139482000.0,153999000.0,555059000.0,1389000.0,65251000.0,882000.0,1074841000.0,941679000.0,809134000.0,1235185000.0,256667000.0,123735000.0,1108432000.0,330968000.0,65281000.0,
ACES.JK,2021-12-31,3896785631.0,440574864042.0,1677057743660.0,5481524728135.0,31233899639.0,,148611816415.0,7189816371434.0,171500000000.0,87722099784.0,4903394939394.0,383072605760.0,-33945075301.0,542835390527.0,2543833653523.0,722537447543.0,126252691296.0,,239797199.0,1450976041872.0,5192108153404.0,,5477627942504.0,,66777644333.0,,2487612797594.0,126723781917.0,
ACES.JK,2020-12-31,3597685357.0,440574864042.0,2024821339896.0,5207470145420.0,14772408978.0,,209834427535.0,7247063894294.0,171500000000.0,29744703904.0,4629340356679.0,602852324505.0,-33945075301.0,581056611528.0,2219784801023.0,844928054206.0,148824078142.0,,239797199.0,1627672431089.0,5034737166320.0,,5203872460063.0,,143482663889.0,,2634331525863.0,164227235603.0,
ACES.JK,2019-12-31,6058272540.0,404435806481.0,1965506710879.0,4661767677627.0,14533616639.0,,236491786241.0,6641808005145.0,171500000000.0,63252639209.0,4105058416347.0,609795940308.0,-19226545201.0,611687692923.0,1255018477387.0,783375432849.0,171827517756.0,,239797199.0,1654511391964.0,4369550647718.0,,4655709405087.0,,88918882414.0,,2944316258079.0,177558419530.0,
ACES.JK,2018-12-31,8001850383.0,404435806481.0,1085709809612.0,4225418067107.0,10052978822.0,,163296771901.0,5321180855541.0,171500000000.0,54982451169.0,3668708805827.0,454654350225.0,-19226545201.0,655944097656.0,798522144576.0,631055459387.0,113288464690.0,,239797199.0,560954432119.0,4096280475383.0,,4217416216724.0,6224968013.0,36642626059.0,,2996566051074.0,197936121908.0,
BDMN.JK,2021-12-31,624897000000.0,7986160000000.0,147156640000000.0,44539107000000.0,543951000000.0,46455000000.0,2510663000000.0,192239698000000.0,5995577000000.0,6227226000000.0,30122863000000.0,7177302000000.0,434507000000.0,124489368000000.0,15199003000000.0,130629106000000.0,2875122000000.0,1901198000000.0,434507000000.0,1895474000000.0,29198715000000.0,34956711000000.0,42839677000000.0,3764978000000.0,158557000000.0,9149582000000.0,870697000000.0,123353904000000.0,1074533000000.0
BDMN.JK,2020-12-31,512137000000.0,7986160000000.0,157314569000000.0,43107813000000.0,467686000000.0,57133000000.0,2472851000000.0,200890068000000.0,5995577000000.0,5424098000000.0,28683368000000.0,7427949000000.0,442708000000.0,130723676000000.0,14510779000000.0,141351963000000.0,2954643000000.0,9078407000000.0,442708000000.0,2105691000000.0,37976468000000.0,28497563000000.0,41521143000000.0,12174391000000.0,954778000000.0,8290594000000.0,882265000000.0,126210929000000.0,1074533000000.0
BDMN.JK,2019-12-31,533763000000.0,7986160000000.0,148116943000000.0,44937166000000.0,479861000000.0,68560000000.0,1686601000000.0,193533970000000.0,5995577000000.0,7953314000000.0,30834454000000.0,4585076000000.0,120975000000.0,140309831000000.0,7670831000000.0,133737133000000.0,2799727000000.0,14026666000000.0,120975000000.0,1785994000000.0,26532822000000.0,23297027000000.0,43328870000000.0,7218541000000.0,182702000000.0,9794734000000.0,875963000000.0,112293415000000.0,1074533000000.0
BDMN.JK,2018-12-31,1587921000000.0,7256324000000.0,144822368000000.0,41310606000000.0,629215000000.0,,10474907000000.0,186762189000000.0,5901122000000.0,13392210000000.0,28379776000000.0,2779895000000.0,-226616000000.0,135750046000000.0,4211672000000.0,117397024000000.0,2691880000000.0,,-226616000000.0,1902608000000.0,27528550000000.0,19993064000000.0,39722685000000.0,8829400000000.0,,24645449000000.0,646177000000.0,103695757000000.0,
PWON.JK,2021-12-31,,362194103000.0,9687642670000.0,16046705530000.0,3131732929000.0,,2544912041000.0,28866081129000.0,1203990060000.0,569425202000.0,14431810440000.0,1011790805000.0,48710927000.0,14936884765000.0,6443643453000.0,3018980942000.0,53547643000.0,49962237000.0,48710927000.0,2318296002000.0,11453040378000.0,157859984000.0,16046705530000.0,,251675759000.0,5656870923000.0,3980700094000.0,215293779000.0,
PWON.JK,2020-12-31,,362194103000.0,8860110106000.0,14635479007000.0,2963216264000.0,,3390466247000.0,26458805377000.0,1203990060000.0,630463178000.0,13049262372000.0,976872805000.0,20032472000.0,15379936610000.0,2886903145000.0,4336698236000.0,58229219000.0,397479389000.0,20032472000.0,2355148670000.0,8590023831000.0,133696266000.0,14635479007000.0,,238329450000.0,3546539065000.0,4511998623000.0,347559503000.0,
PWON.JK,2019-12-31,,362194103000.0,7999510286000.0,14971364155000.0,3124278902000.0,,1924042595000.0,26095153343000.0,1203990060000.0,647593752000.0,13401006038000.0,741781798000.0,4173954000.0,14259146532000.0,4313284575000.0,3373096633000.0,57849612000.0,912058356000.0,4173954000.0,2075840106000.0,9642587369000.0,117579336000.0,14971364155000.0,66049680000.0,934481034000.0,3884631855000.0,3531077075000.0,334050513000.0,
PWON.JK,2018-12-31,,362194103000.0,9706398758000.0,12596118145000.0,2715563321000.0,,2929422089000.0,25018080224000.0,1203990060000.0,741718764000.0,11018590256000.0,676352668000.0,11343726000.0,13738639999000.0,4460081353000.0,4096381121000.0,58323149000.0,646528164000.0,11343726000.0,1732817498000.0,9472787624000.0,73835103000.0,12596118145000.0,15000000000.0,532085073000.0,4933664969000.0,3576277383000.0,295781938000.0,
MSIN.JK,2021-12-31,307383000000.0,612212000000.0,4019508000000.0,2678494000000.0,10842000000.0,,20923000000.0,6708844000000.0,572220000000.0,3466941000000.0,802090000000.0,23600000000.0,691972000000.0,4343000000.0,650411000000.0,3706850000000.0,4235000000.0,188261000000.0,691972000000.0,902548000000.0,5308113000000.0,186457000000.0,2371111000000.0,,670637000000.0,288858000000.0,514472000000.0,66285000000.0,
MSIN.JK,2020-12-31,307669000000.0,499234000000.0,759019000000.0,1537516000000.0,10062000000.0,,27005000000.0,2306597000000.0,520200000000.0,62371000000.0,524902000000.0,27373000000.0,-6820000000.0,4137000000.0,396493000000.0,500697000000.0,4029000000.0,121232000000.0,2714000000.0,166056000000.0,1642278000000.0,186457000000.0,1229847000000.0,,682729000000.0,230446000000.0,497206000000.0,112778000000.0,
MSIN.JK,2019-12-31,327731000000.0,488245000000.0,725176000000.0,1366341000000.0,8218000000.0,316395000000.0,37390000000.0,2099735000000.0,520200000000.0,43116000000.0,357865000000.0,23893000000.0,31000000.0,93856000000.0,194457000000.0,463941000000.0,2301000000.0,169195000000.0,31000000.0,137038000000.0,1354653000000.0,186457000000.0,1038610000000.0,204000000.0,668004000000.0,235731000000.0,445286000000.0,174062000000.0,
MSIN.JK,2018-12-31,11313000000.0,488245000000.0,681146000000.0,1265046000000.0,6027000000.0,333554000000.0,34018000000.0,1952219000000.0,520200000000.0,30207000000.0,255695000000.0,15984000000.0,906000000.0,427253000000.0,510723000000.0,663730000000.0,2163000000.0,,906000000.0,118099000000.0,1395097000000.0,457000000.0,1253733000000.0,343000000.0,557030000000.0,,295759000000.0,110374000000.0,
ITMG.JK,2021-12-31,,329028000.0,464680000.0,1209306000.0,-7747000.0,85015000.0,163664000.0,1666239000.0,63892000.0,20592000.0,854278000.0,69542000.0,-37892000.0,333979000.0,690970000.0,364743000.0,56888000.0,9934000.0,-18681000.0,344236000.0,988024000.0,,1209306000.0,,197517000.0,25806000.0,62447000.0,85262000.0,
