emiten,tanggal,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,minorityInterest,longTermInvestments,shortTermInvestments
SMCB.JK,2021-12-31,15776000000.0,5014275000000.0,10309519000000.0,11182197000000.0,3130000000.0,62802000000.0,21491716000000.0,4509691000000.0,427541000000.0,1883916000000.0,1915804000000.0,331808000000.0,-225685000000.0,627325000000.0,290567000000.0,3899406000000.0,33596000000.0,-225685000000.0,15278538000000.0,5238269000000.0,10834613000000.0,3470296000000.0,4380372000000.0,1019014000000.0,3101191000000.0,,,,
SMCB.JK,2020-12-31,15089000000.0,2587309000000.0,13171946000000.0,7566179000000.0,506000000.0,152827000000.0,20738125000000.0,3831450000000.0,196476000000.0,1358279000000.0,1533303000000.0,331808000000.0,-210859000000.0,449748000000.0,526813000000.0,4141265000000.0,18507000000.0,-210859000000.0,15725265000000.0,4216215000000.0,7219282000000.0,2415811000000.0,7269246000000.0,1048354000000.0,2014981000000.0,1100000000000.0,,,
SMCB.JK,2019-12-31,21583000000.0,2587309000000.0,12584886000000.0,6982612000000.0,14306000000.0,106420000000.0,19567498000000.0,3831450000000.0,148258000000.0,742353000000.0,1075030000000.0,331808000000.0,-178500000000.0,541417000000.0,386751000000.0,2963506000000.0,16922000000.0,-178500000000.0,15465852000000.0,3206838000000.0,6629221000000.0,1527499000000.0,8546350000000.0,1102680000000.0,1832341000000.0,116110000000.0,,,
SMCB.JK,2018-12-31,56882000000.0,2587309000000.0,12250837000000.0,6416350000000.0,21351000000.0,383395000000.0,18667187000000.0,3831450000000.0,152213000000.0,243301000000.0,1359261000000.0,331808000000.0,-245710000000.0,212115000000.0,336606000000.0,9739775000000.0,17770000000.0,-245710000000.0,15468710000000.0,2597672000000.0,6027660000000.0,1095238000000.0,1151801000000.0,962614000000.0,1248653000000.0,5794604000000.0,,,
NISP.JK,2021-12-31,,5395280000000.0,182068037000000.0,32327373000000.0,,6084482000000.0,214395608000000.0,2868162000000.0,11138839000000.0,22147022000000.0,1206246000000.0,,1916909000000.0,114102256000000.0,5538009000000.0,175990326000000.0,921875000000.0,1916909000000.0,3237706000000.0,30572254000000.0,32327373000000.0,1270937000000.0,4861081000000.0,1165057000000.0,168243347000000.0,,198000000.0,66483392000000.0,9485176000000.0
NISP.JK,2020-12-31,,5395280000000.0,176467884000000.0,29829213000000.0,,6932200000000.0,206297200000000.0,2868162000000.0,7109723000000.0,19646560000000.0,350605000000.0,,1919211000000.0,110360559000000.0,7393530000000.0,171267485000000.0,703232000000.0,1919211000000.0,3001632000000.0,47024725000000.0,29829213000000.0,679674000000.0,4849794000000.0,1074712000000.0,159294426000000.0,876740000000.0,103000000.0,45910284000000.0,27144870000000.0
NISP.JK,2019-12-31,,5395280000000.0,153042184000000.0,27664701000000.0,,5161400000000.0,180706987000000.0,2868162000000.0,12857948000000.0,17808553000000.0,610426000000.0,,1592706000000.0,115053279000000.0,10955046000000.0,149434941000000.0,664218000000.0,1592706000000.0,2784242000000.0,32925986000000.0,27664701000000.0,389488000000.0,2996817000000.0,1106184000000.0,126263681000000.0,1065147000000.0,102000000.0,29943480000000.0,3954023000000.0
NISP.JK,2018-12-31,,5395280000000.0,149154640000000.0,24428254000000.0,,5781146000000.0,173582894000000.0,2868162000000.0,14972936000000.0,14868815000000.0,561128000000.0,,1295997000000.0,114508346000000.0,4961401000000.0,144531722000000.0,692340000000.0,1295997000000.0,2799661000000.0,24919288000000.0,24428254000000.0,230916000000.0,4061790000000.0,1145830000000.0,126037531000000.0,2434922000000.0,,31355599000000.0,1764083000000.0
BBSI.JK,2021-12-31,2390087761.0,1381913945506.0,406558558387.0,2069516926971.0,,7382110189.0,2476075485358.0,302652940500.0,4031641915.0,252903365737.0,-1.0,,132046675228.0,943553982091.0,118242344300.0,406558558388.0,,132046675228.0,171286155967.0,122878813946.0,2067126839210.0,,,245296997.0,387664137713.0,,,1235966445593.0,
BBSI.JK,2020-12-31,804805618.0,396581239526.0,432251684034.0,1008982591153.0,,4478897088.0,1441234275187.0,302652940500.0,10928255767.0,177918977969.0,-2.0,,131829433158.0,904360095024.0,161928262449.0,432251684036.0,,131829433158.0,171275899029.0,173484032059.0,1008177785535.0,,,219803029.0,415396918715.0,,,191309443457.0,
BBSI.JK,2019-12-31,539087551.0,250000000.0,452297420963.0,501440058112.0,,5335897992.0,953737479075.0,223700000000.0,3603240384.0,145705404828.0,,,131784653284.0,593139011753.0,153168453153.0,452297420963.0,,131784653284.0,170304812811.0,157745207061.0,500900970561.0,,,280315244.0,435057281875.0,,,32009359899.0,
