emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,repurchaseOfStock,changeToAccountReceivables
BBCA.JK,2021-12-31,-37967449000000.0,0.0,-41247858000000.0,-365389000000.0,119675875000000.0,-54483984000000.0,31422660000000.0,70997448000000.0,157217000000.0,-7587786000000.0,2138107000000.0,-233598000000.0,-13732840000000.0,133774104000000.0,12138894000000.0,-3061820000000.0,,,
BBCA.JK,2020-12-31,-41159283000000.0,0.0,-44117844000000.0,-1919047000000.0,123067657000000.0,-126544281000000.0,27131109000000.0,-6796308000000.0,1895929000000.0,-87642050000000.0,2240482000000.0,-382035000000.0,-13634221000000.0,138620925000000.0,6603557000000.0,-2282555000000.0,,,
BBCA.JK,2019-12-31,-31171536000000.0,0.0,-34732414000000.0,1417633000000.0,63795150000000.0,-53679563000000.0,28565053000000.0,9755985000000.0,-118745000000.0,-19188006000000.0,1693877000000.0,1445000000.0,-8752529000000.0,71130046000000.0,2667969000000.0,-2675281000000.0,,,
BBCA.JK,2018-12-31,22952844000000.0,0.0,20627654000000.0,-887347000000.0,39518489000000.0,-70260290000000.0,25855154000000.0,19934121000000.0,1691554000000.0,-41903576000000.0,1667298000000.0,11640000000.0,-6410302000000.0,46816138000000.0,-1029722000000.0,-2347223000000.0,,,
BBRI.JK,2021-12-31,-64897492000000.0,0.0,-73095605000000.0,-6289763000000.0,63505556000000.0,-89520394000000.0,33467283000000.0,-17865567000000.0,-2190000000.0,-8273328000000.0,2759154000000.0,4349000000.0,-12125589000000.0,40861702000000.0,35856098000000.0,-8254116000000.0,41059206000000.0,,
BBRI.JK,2020-12-31,-112115034000000.0,0.0,-116449356000000.0,42504954000000.0,118744682000000.0,-115076386000000.0,21035795000000.0,-65116261000000.0,-352878000000.0,-67058709000000.0,5357833000000.0,5530000000.0,-20623565000000.0,96863293000000.0,34064215000000.0,-4375066000000.0,41059206000000.0,,
BBRI.JK,2019-12-31,-1498935000000.0,0.0,-5188301000000.0,-1909539000000.0,63821531000000.0,-80090876000000.0,34372609000000.0,21149281000000.0,-160251000000.0,-37323698000000.0,1733629000000.0,5857000000.0,-16175565000000.0,81906635000000.0,19298094000000.0,-3695364000000.0,41059206000000.0,,
BBRI.JK,2018-12-31,-25188955000000.0,0.0,-27010844000000.0,11976893000000.0,103810515000000.0,-89127328000000.0,32351133000000.0,29139632000000.0,-52076000000.0,-47607963000000.0,1865317000000.0,814000000.0,-13048441000000.0,104882063000000.0,9869363000000.0,-1822703000000.0,41059206000000.0,,
TLKM.JK,2021-12-31,-5593000000000.0,0.0,-37703000000000.0,-1564000000000.0,-12986000000000.0,,24760000000000.0,17722000000000.0,58000000000.0,68353000000000.0,29711000000000.0,-309000000000.0,-12482000000000.0,5221000000000.0,12054000000000.0,-29712000000000.0,,,
TLKM.JK,2020-12-31,-3633000000000.0,0.0,-35256000000000.0,-4713000000000.0,-27753000000000.0,,20804000000000.0,2347000000000.0,39000000000.0,65317000000000.0,27243000000000.0,239000000000.0,-11197000000000.0,-7778000000000.0,15725000000000.0,-29560000000000.0,,,
TLKM.JK,2019-12-31,415000000000.0,0.0,-35791000000000.0,7541000000000.0,-18247000000000.0,,18663000000000.0,803000000000.0,-108000000000.0,54949000000000.0,22013000000000.0,208000000000.0,-10819460000000.0,-9559000000000.0,13108000000000.0,-35131000000000.0,,,
TLKM.JK,2018-12-31,-157000000000.0,0.0,-35090000000000.0,8251000000000.0,-18458000000000.0,,18032000000000.0,-7706000000000.0,171000000000.0,45671000000000.0,20180000000000.0,-608000000000.0,-13287246000000.0,-10100000000000.0,6233000000000.0,-31562000000000.0,,,
BMRI.JK,2021-12-31,-127281409000000.0,0.0,-132477052000000.0,6836093000000.0,144245790000000.0,-60603887000000.0,28028155000000.0,-6290015000000.0,-269997000000.0,-17788756000000.0,3557949000000.0,-957220000000.0,-10271552000000.0,147681249000000.0,14849546000000.0,-2282614000000.0,,,
BMRI.JK,2020-12-31,-33700672000000.0,0.0,-41558403000000.0,2132130000000.0,112865199000000.0,-46197653000000.0,16799515000000.0,55356053000000.0,1411999000000.0,-17362742000000.0,3933692000000.0,-2268456000000.0,-16566107000000.0,127450071000000.0,34870236000000.0,-2806835000000.0,,-150895000000.0,
BMRI.JK,2019-12-31,-11435002000000.0,0.0,-16251888000000.0,4899485000000.0,90507865000000.0,-100320022000000.0,27482133000000.0,-884936000000.0,-1728922000000.0,-73411991000000.0,1464796000000.0,-2268456000000.0,-11256759000000.0,96865139000000.0,4510709000000.0,-3685566000000.0,,-150895000000.0,
BMRI.JK,2018-12-31,-17835083000000.0,0.0,-21041189000000.0,26913447000000.0,42926506000000.0,-96160637000000.0,25015021000000.0,-34098110000000.0,1754511000000.0,-57737938000000.0,1311681000000.0,-2268456000000.0,-9287857000000.0,25300916000000.0,8819993000000.0,-2432966000000.0,,-150895000000.0,
ARTO.JK,2021-12-31,-1761524000000.0,0.0,-2165388000000.0,-10470000000.0,9794756000000.0,-6696223000000.0,86024000000.0,970965000000.0,,-6658403000000.0,20509000000.0,,,2855226000000.0,-105631000000.0,-30721000000.0,6950000000000.0,,
ARTO.JK,2020-12-31,-116026000000.0,0.0,-264953000000.0,-7920000000.0,914894000000.0,-370321000000.0,-189567000000.0,144012000000.0,,-505929000000.0,8159000000.0,,,164322000000.0,42230000000.0,-51189000000.0,758492000000.0,,
ARTO.JK,2019-12-31,-1022000000.0,0.0,-1980000000.0,-7920000000.0,773754000000.0,-545605000000.0,-121966000000.0,177600000000.0,,-594174000000.0,1595000000.0,,,90896000000.0,72684000000.0,-1531000000.0,682858000000.0,,
ARTO.JK,2018-12-31,77607505562.0,0.0,76409322418.0,-7920000000.0,-149291610196.0,74947210087.0,-23288428791.0,-9609620115.0,,63272667666.0,2213665126.0,,,-149291610196.0,9469674181.0,-1308183143.0,682858000000.0,,
ASII.JK,2021-12-31,-2828000000000.0,0.0,-3905000000000.0,-8560000000000.0,-18200000000000.0,,20196000000000.0,16394000000000.0,247000000000.0,38252000000000.0,14263000000000.0,4240000000000.0,-5340000000000.0,-4300000000000.0,3793000000000.0,-5363000000000.0,,,
ASII.JK,2020-12-31,15872000000000.0,0.0,13133000000000.0,-15892000000000.0,-27955000000000.0,,16164000000000.0,23229000000000.0,368000000000.0,37683000000000.0,15161000000000.0,2917000000000.0,-7445000000000.0,-4618000000000.0,6358000000000.0,-5011000000000.0,,,
ASII.JK,2019-12-31,-5976000000000.0,0.0,-14197000000000.0,8597000000000.0,-5414000000000.0,,21707000000000.0,-617000000000.0,-192000000000.0,19186000000000.0,13452000000000.0,4468000000000.0,-8542000000000.0,-5469000000000.0,-15973000000000.0,-12482000000000.0,,,
ASII.JK,2018-12-31,-4813000000000.0,0.0,-29731000000000.0,8900000000000.0,-4873000000000.0,,21673000000000.0,-6633000000000.0,279000000000.0,27692000000000.0,9422000000000.0,6709000000000.0,-7687000000000.0,-6086000000000.0,-3403000000000.0,-14016000000000.0,,,
UNVR.JK,2021-12-31,,0.0,-681255000000.0,-1397418000000.0,-7739754000000.0,,5758148000000.0,-518879000000.0,39000000.0,7902091000000.0,1041927000000.0,,-6342336000000.0,,1067035000000.0,-585163000000.0,,,
UNVR.JK,2020-12-31,,0.0,-690216000000.0,-87440000000.0,-7458509000000.0,,7163536000000.0,215427000000.0,159000000.0,8363993000000.0,1066753000000.0,,-7371069000000.0,,97021000000.0,-649743000000.0,,,
UNVR.JK,2019-12-31,,0.0,-1446367000000.0,2239227000000.0,-6937190000000.0,,7392837000000.0,276982000000.0,-8530000000.0,8669069000000.0,1097858000000.0,,-9176417000000.0,,146887000000.0,-1448845000000.0,,,
UNVR.JK,2018-12-31,,0.0,1942485000000.0,-3236590000000.0,-10162791000000.0,,9081187000000.0,-53117000000.0,6062000000.0,8161127000000.0,1026655000000.0,,-6926201000000.0,,-1969376000000.0,-998329000000.0,,,
