emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,otherCashflowsFromInvestingActivities,repurchaseOfStock,issuanceOfStock,changeToOperatingActivities
STTP.JK,2021-12-31,-303000000000.0,0.0,-368008129066.0,-192327782406.0,-193539661871.0,617506021901.0,63933934389.0,1125598374.0,624353076652.0,70992677980.0,-1211879465.0,-64145623229.0,-65662057879.0,,,,,
STTP.JK,2020-12-31,-488690000000.0,0.0,-744520249794.0,-27668470562.0,-131876348952.0,628562854883.0,42412752419.0,563682813.0,926245668352.0,70033701261.0,-4202478390.0,227649112208.0,-255934286158.0,-100005400000.0,,,,
STTP.JK,2019-12-31,217893161701.0,0.0,-182053329010.0,-287602414451.0,-275002698121.0,482621766979.0,36620333281.0,-655650340.0,499922010752.0,70008813513.0,12599716330.0,-52708569740.0,-403265216438.0,-100005400000.0,,,,
STTP.JK,2018-12-31,-192858516429.0,0.0,-224855119317.0,-28599243242.0,-26261229113.0,255195841882.0,-5848058965.0,261313623.0,245006975842.0,73411524351.0,2338014129.0,-83600390391.0,-28157673070.0,-100005400000.0,,,,
LPKR.JK,2021-12-31,-89322000000.0,0.0,-2061077000000.0,2579942000000.0,2327313000000.0,-1602894000000.0,1895030000000.0,799000000.0,1627995000000.0,2329081000000.0,-252629000000.0,871990000000.0,-453485000000.0,,5041000000.0,,,
LPKR.JK,2020-12-31,421093000000.0,0.0,-420556000000.0,510564000000.0,1096245000000.0,-8891100000000.0,-1691665000000.0,5685000000.0,-2373039000000.0,1735352000000.0,589110000000.0,4684665000000.0,-509912000000.0,,200698000000.0,-3429000000.0,,
LPKR.JK,2019-12-31,-2217506000000.0,0.0,-2657028000000.0,-1778011000000.0,10115476000000.0,-1983299000000.0,2866699000000.0,-52787000000.0,-4538962000000.0,903462000000.0,655709000000.0,-3508717000000.0,-650848000000.0,,255952000000.0,-3429000000.0,11237778000000.0,
LPKR.JK,2018-12-31,1601228000000.0,0.0,1891769000000.0,-302512000000.0,547476000000.0,719977000000.0,-719730000000.0,5043000000.0,-3409355000000.0,772450000000.0,911348000000.0,-4946911000000.0,-930619000000.0,-61360000000.0,405782000000.0,-3429000000.0,11237778000000.0,
MTDL.JK,2021-12-31,,0.0,9390000000.0,-15877000000.0,-281226000000.0,508882000000.0,-192243000000.0,,79593000000.0,26061000000.0,-174500000000.0,-455350000000.0,-19385000000.0,-90849000000.0,28420000000.0,,,
MTDL.JK,2020-12-31,379000000.0,0.0,7121000000.0,-177363000000.0,-298700000000.0,364934000000.0,1091331000000.0,,1382910000000.0,22341000000.0,-40310000000.0,995635000000.0,-22494000000.0,-81027000000.0,29230000000.0,,,
MTDL.JK,2019-12-31,379000000.0,0.0,-15073000000.0,7880000000.0,-83183000000.0,357071000000.0,76282000000.0,,174538000000.0,21893000000.0,-29679000000.0,-204426000000.0,-30198000000.0,-61384000000.0,14970000000.0,,,
MTDL.JK,2018-12-31,379000000.0,0.0,-95608000000.0,-49634000000.0,-93212000000.0,288044000000.0,159503000000.0,,348323000000.0,19520000000.0,-19024000000.0,40759000000.0,-109343000000.0,-24554000000.0,12182000000.0,,,
TOBA.JK,2021-12-31,50865073.0,0.0,43923784.0,-11255891.0,-22035891.0,48081894.0,43809879.0,94412.0,21827574.0,21252449.0,-10780000.0,-47506769.0,-8028419.0,,906991.0,,,
TOBA.JK,2020-12-31,50865073.0,0.0,6770249.0,116897667.0,109857161.0,24563977.0,4091016.0,-616051.0,-111920343.0,30529893.0,-7040506.0,-167014213.0,-7629031.0,,15332904.0,,,
TOBA.JK,2019-12-31,50865073.0,0.0,6922420.0,88859808.0,83766778.0,26549065.0,-36473484.0,-63203.0,-127099479.0,14313151.0,-5093030.0,-167961695.0,-9145970.0,,15913471.0,,,
TOBA.JK,2018-12-31,50865073.0,0.0,-70955005.0,60875898.0,32945898.0,37785670.0,-557896.0,-773854.0,38225065.0,18087300.0,-27930000.0,-17647905.0,-11388928.0,,-8073243.0,,,
SOHO.JK,2021-12-31,,0.0,-6384000000.0,-15508000000.0,-559013000000.0,550176000000.0,49726000000.0,,615123000000.0,59182000000.0,6045000000.0,-1764000000.0,-29404000000.0,-549550000000.0,5140000000.0,,,
SOHO.JK,2020-12-31,,0.0,-18725000000.0,-126651000000.0,-42759000000.0,172108000000.0,640516000000.0,,702000000000.0,59245000000.0,-101388000000.0,463313000000.0,-34153000000.0,-13479000000.0,-25014000000.0,,198759000000.0,
