emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,effectOfExchangeRate,otherCashflowsFromInvestingActivities,repurchaseOfStock
MAYA.JK,2021-12-31,-2189298000000.0,0.0,-2272524000000.0,-286817000000.0,27752598000000.0,-17082588000000.0,990908000000.0,44127000000.0,5596942000000.0,-19883132000000.0,190032000000.0,27048507000000.0,-3059466000000.0,-84002000000.0,,,,
MAYA.JK,2020-12-31,1343139000000.0,0.0,1228895000000.0,-740357000000.0,-1615905000000.0,5257261000000.0,1009075000000.0,64164000000.0,1944028000000.0,2331038000000.0,195744000000.0,-1884623000000.0,-3202816000000.0,-115372000000.0,,,,
MAYA.JK,2019-12-31,-338518000000.0,0.0,-431981000000.0,-713008000000.0,5779534000000.0,-9522621000000.0,1002087000000.0,528114000000.0,-3447501000000.0,-8795054000000.0,132264000000.0,5490455000000.0,7948000000.0,-94654000000.0,,,,
MAYA.JK,2018-12-31,-605147000000.0,0.0,-785325000000.0,803000000000.0,11404745000000.0,-12168307000000.0,2004175000000.0,437412000000.0,366541000000.0,-10252879000000.0,130946000000.0,8870866000000.0,1319108000000.0,-181685000000.0,-273296000000.0,,,
EPMT.JK,2021-12-31,-61796607117.0,0.0,-133804515916.0,-16334748309.0,-566184742828.0,,,847881142916.0,-294753540742.0,404805061273.0,179866479194.0,-8121994519.0,-622942560837.0,-107174659240.0,-541728000000.0,430656729.0,16795854479.0,
EPMT.JK,2020-12-31,20400000000.0,0.0,-156533492180.0,-8624277966.0,-246891613231.0,,,680597939678.0,578121204334.0,980695031727.0,162819308579.0,5510264735.0,137277783470.0,-201028784555.0,-243777600000.0,851278018.0,14528262066.0,
EPMT.JK,2019-12-31,20400000000.0,0.0,-262862775722.0,-8624277966.0,-249963628189.0,,,580629918596.0,-265559751630.0,248919605641.0,128106171402.0,-6186028189.0,-459816484357.0,-307741839750.0,-243777600000.0,-1652953360.0,44641323483.0,
EPMT.JK,2018-12-31,-50000000.0,0.0,-76285903711.0,-8624277966.0,-18959226594.0,,,653064164661.0,451155042563.0,543778934884.0,127261534433.0,-5416026594.0,-236546764210.0,-121348743562.0,-13543200000.0,2621237984.0,43883703838.0,
INPP.JK,2021-12-31,,0.0,-276193184918.0,237403643675.0,255828819721.0,,,-5192000303.0,81121958249.0,113619058252.0,119079614900.0,18425176046.0,-268556345.0,-177748339651.0,,-12132734806.0,-96853949018.0,
INPP.JK,2020-12-31,,0.0,-286994413209.0,202005565107.0,128295704645.0,,,-479316910051.0,-190009005663.0,-11463193894.0,37563353697.0,-23390987668.0,430290362460.0,-299729577575.0,-50318872794.0,-19847103205.0,15069683265.0,
INPP.JK,2019-12-31,-1665646184413.0,0.0,891510315216.0,-539629868803.0,-1003877742129.0,,,2028064890356.0,44663518908.0,131347984386.0,99906478521.0,-453065901594.0,-1996623384491.0,-199950224294.0,-11181971732.0,25682961435.0,752795385506.0,
INPP.JK,2018-12-31,103784337032.0,0.0,-26487629039.0,202906178893.0,55533819484.0,,,76275110146.0,164265295890.0,193103048142.0,92876913926.0,-130599401811.0,23951024070.0,-94222759092.0,-16772957598.0,-57883942697.0,18019272809.0,
TURI.JK,2021-12-31,,0.0,-52639000000.0,247080000000.0,45950000000.0,,,538482000000.0,359953000000.0,366642000000.0,279846000000.0,-250000000.0,-451686000000.0,-82611000000.0,-200880000000.0,,4549000000.0,
TURI.JK,2020-12-31,44123000000.0,0.0,-71055000000.0,-395990000000.0,-496470000000.0,,,42799000000.0,482322000000.0,1049847000000.0,291496000000.0,-40000000.0,715552000000.0,-139279000000.0,-100440000000.0,,3593000000.0,
TURI.JK,2019-12-31,276000000.0,0.0,-114223000000.0,-91518000000.0,-259124000000.0,,,582707000000.0,108871000000.0,482218000000.0,278474000000.0,-206000000.0,-378963000000.0,-142919000000.0,-167400000000.0,,3593000000.0,
TURI.JK,2018-12-31,276000000.0,0.0,-203423000000.0,89079000000.0,-67399000000.0,,,560156000000.0,19383000000.0,290205000000.0,246106000000.0,-238000000.0,-516057000000.0,-247921000000.0,-156240000000.0,,17162000000.0,
KPIG.JK,2021-12-31,559542502390.0,0.0,-58727929161.0,316505023561.0,268183423843.0,,,195862601260.0,21776837398.0,-187784706662.0,71106901829.0,-48321599718.0,-454754209751.0,-587560971422.0,,106049378.0,-7709187403.0,
