emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,issuanceOfStock,investments,changeToOperatingActivities
UNIC.JK,2021-12-31,0.0,-56846.0,-764784.0,-4567008.0,58219737.0,19244057.0,-990944.0,24858855.0,2642264.0,685470.0,-3906566.0,104342.0,-36003146.0,-821519.0,,,,
UNIC.JK,2020-12-31,0.0,-6060484.0,-5077255.0,-10958569.0,27703452.0,49653761.0,2396436.0,64276378.0,6038360.0,-5246049.0,-6301552.0,420238.0,30534566.0,-843381.0,,,,
UNIC.JK,2019-12-31,0.0,-2878981.0,-24179573.0,-26708441.0,12212707.0,-13885527.0,12498.0,15689397.0,5404301.0,-1095217.0,-2448920.0,-79948.0,-1927611.0,-2350122.0,,,,
UNIC.JK,2018-12-31,0.0,19385437.0,2056444.0,-9608849.0,17717226.0,15106410.0,-615035.0,5944857.0,5335332.0,-1095217.0,-11709754.0,44461.0,-17107701.0,-1761473.0,,,,
CLEO.JK,2021-12-31,0.0,-157061487160.0,-90205530941.0,-166013627130.0,180711667020.0,-18129417679.0,-34507402.0,304980204013.0,91116957214.0,,-59883719000.0,,33151579779.0,-158215746322.0,-15924377189.0,,,
CLEO.JK,2020-12-31,0.0,-171067896358.0,-36571226769.0,-39273450620.0,132772234495.0,16046966182.0,-538001571.0,226926314731.0,82633400941.0,,-59883719000.0,,11520679295.0,-172454259994.0,-2702223851.0,,,
CLEO.JK,2019-12-31,0.0,-434150209369.0,228761492914.0,228625339595.0,130756566406.0,4161641568.0,-35638933.0,210065429291.0,57477192866.0,,-59883719000.0,-136153319.0,21831670019.0,-445515227551.0,-2702223851.0,,,
CLEO.JK,2018-12-31,0.0,-178629746056.0,-226956293231.0,47043984269.0,63262127839.0,-377325482.0,-630865082.0,131839301387.0,61050120320.0,,-59883719000.0,277500.0,7527053228.0,-180582125070.0,-2702223851.0,274000000000.0,,
BOGA.JK,2021-12-31,0.0,146414164358.0,188673025183.0,188673025183.0,27497597310.0,381235930378.0,,46148740837.0,10625800112.0,157443115929.0,,,8025343415.0,-8298951571.0,,,,
BOGA.JK,2020-12-31,0.0,-17712909423.0,1257292479.0,1257292479.0,9743363290.0,33453019252.0,,49908636196.0,13519632415.0,157443115929.0,,,26645640491.0,-17712909423.0,,,,
BOGA.JK,2019-12-31,0.0,-31533370913.0,-12971165226.0,-12940517326.0,9814928852.0,11521956368.0,,55995844607.0,13582590424.0,157443115929.0,,,32598325331.0,-74062923562.0,,30647900.0,,
BOGA.JK,2018-12-31,0.0,-62688361902.0,-4440472724.0,-4398473824.0,11658981248.0,13389219390.0,,80476055116.0,13619994657.0,157443115929.0,,2000.0,55197079211.0,-43703667334.0,,41996900.0,,
DSNG.JK,2021-12-31,0.0,-177017000000.0,-1105449000000.0,-1063143000000.0,727153000000.0,-184655000000.0,,1055505000000.0,617413000000.0,1156083000000.0,-130730000000.0,85903000000.0,-289061000000.0,-1346363000000.0,,87133000000.0,,
