emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,issuanceOfStock,investments,effectOfExchangeRate,changeToOperatingActivities,repurchaseOfStock
TCPI.JK,2021-12-31,0.0,-312579000000.0,49111000000.0,-42735000000.0,78745000000.0,97366000000.0,452680000000.0,-91846000000.0,373935000000.0,-312921000000.0,,,,,,,,
TCPI.JK,2020-12-31,0.0,-109479000000.0,-254220000000.0,-392977000000.0,56130000000.0,-206947000000.0,295509000000.0,-113757000000.0,41367000000.0,-2066000000.0,147158000000.0,-107459000000.0,-25000000000.0,,,,,
TCPI.JK,2019-12-31,0.0,-321533000000.0,33803000000.0,-171238000000.0,263502000000.0,107224000000.0,599995000000.0,-127541000000.0,158816000000.0,-267366000000.0,141619000000.0,-54167000000.0,-77500000000.0,,,,,
TCPI.JK,2018-12-31,0.0,-405058000000.0,124964000000.0,132529000000.0,253946000000.0,96398000000.0,368970000000.0,-126845000000.0,-26001000000.0,-445378000000.0,141025000000.0,-54167000000.0,-77500000000.0,134410000000.0,,,,
BUKA.JK,2021-12-31,0.0,-659000686000.0,1986604642000.0,25270995926000.0,-1672959343000.0,23215948812000.0,-1409310196000.0,,109114656000.0,-2050757000.0,147915933000.0,,,23284391284000.0,-614863877000.0,13263768000.0,,
BUKA.JK,2020-12-31,0.0,-1437080000.0,-12250216000.0,1747478139000.0,-1349041582000.0,600450964000.0,-1154372038000.0,50010000000.0,8426882000.0,-14787051000.0,185437825000.0,,,1709718355000.0,-614863877000.0,8781943000.0,,
BUKA.JK,2019-12-31,0.0,-83302800000.0,-12250216000.0,2004562815000.0,-2795350000000.0,-1165312721000.0,-3061605293000.0,50010000000.0,-419548424000.0,-83605468000.0,153293131000.0,,,2004562815000.0,-614863877000.0,-24967443000.0,,
BUKA.JK,2018-12-31,0.0,-546497189000.0,-12250216000.0,4163762608000.0,-2243420328000.0,1807265296000.0,-1811004031000.0,50010000000.0,367676787000.0,-534750323000.0,64739510000.0,,,4163762608000.0,-8640027000.0,1003908000.0,,
MYOR.JK,2021-12-31,0.0,-947614701926.0,336067765575.0,-870693620125.0,1186598590767.0,-768411264170.0,1041955003348.0,-44109000000.0,-1067792189332.0,-977435990290.0,923148601913.0,21791933678.0,-1162652385700.0,,,7942054533.0,,
MYOR.JK,2020-12-31,0.0,-1111015237138.0,-1180834706953.0,-1865848198703.0,2060631850945.0,795786573092.0,3715832449186.0,-14252500000.0,850338053050.0,-1155602411570.0,804862545191.0,41697354810.0,-670760991750.0,,,56817559747.0,,
MYOR.JK,2019-12-31,0.0,-1845317472514.0,-202794871792.0,-865449663817.0,1999303012096.0,486349839898.0,3303864262119.0,-14252500000.0,716372233021.0,-1898335618348.0,588189017002.0,50076541517.0,-648402292025.0,,,-106747285890.0,,
MYOR.JK,2018-12-31,0.0,-1196001406035.0,1559501666667.0,941471315759.0,1716355870266.0,293795548953.0,459273241788.0,-14345458333.0,-1806303058113.0,-1239109902712.0,549220429635.0,40508755766.0,-603684892575.0,,,89052397441.0,,
AMRT.JK,2021-12-31,0.0,-3659677000000.0,-2625344000000.0,-3278614000000.0,1950991000000.0,-607918000000.0,6335963000000.0,-267092000000.0,1228323000000.0,-1789250000000.0,3156649000000.0,-1709463000000.0,-386178000000.0,,-191316000000.0,,,
AMRT.JK,2020-12-31,0.0,-3830974000000.0,-1599391000000.0,-2749689000000.0,1061476000000.0,-20490000000.0,6560173000000.0,-344307000000.0,2604138000000.0,-1976833000000.0,2894559000000.0,-1716662000000.0,-805991000000.0,,-186933000000.0,,,
AMRT.JK,2019-12-31,0.0,-2689191000000.0,-381788000000.0,-892330000000.0,1112513000000.0,1827621000000.0,5409142000000.0,-400917000000.0,1615233000000.0,-1254403000000.0,1217119000000.0,-1469836000000.0,-109625000000.0,,-52987000000.0,,,
AMRT.JK,2018-12-31,0.0,-1886495000000.0,-2160973000000.0,-2932622000000.0,650138000000.0,1137528000000.0,5956645000000.0,-532053000000.0,2679852000000.0,-704650000000.0,1306112000000.0,-1133318000000.0,-239596000000.0,,-78569000000.0,,,
INKP.JK,2021-12-31,0.0,-400286000.0,-73028000.0,-91541000.0,527079000.0,188666000.0,678665000.0,,-128555000.0,-407909000.0,280141000.0,7615000.0,-18513000.0,,,1828000.0,,
