emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,otherCashflowsFromInvestingActivities,issuanceOfStock
BNGA.JK,2021-12-31,-8552978000000.0,0.0,-9043175000000.0,-674761000000.0,32203643000000.0,-16583471000000.0,4100340000000.0,18977246000000.0,184249000000.0,-4367471000000.0,881373000000.0,-1098577000000.0,33976981000000.0,3773404000000.0,-12520000000.0,,,
BNGA.JK,2020-12-31,-25813428000000.0,0.0,-26763211000000.0,-5190928000000.0,6882452000000.0,12245593000000.0,2012401000000.0,-4419475000000.0,302450000000.0,15158834000000.0,795598000000.0,-1392161000000.0,13466094000000.0,4413878000000.0,-673462000000.0,-553000000.0,,
BNGA.JK,2019-12-31,2647549000000.0,0.0,1694831000000.0,2099425000000.0,4684961000000.0,-10489804000000.0,3645154000000.0,4729674000000.0,-435089000000.0,-1215029000000.0,530488000000.0,-696485000000.0,3285975000000.0,6054358000000.0,-639981000000.0,-3954000000.0,,
BNGA.JK,2018-12-31,-654558000000.0,0.0,-1608846000000.0,1187513000000.0,-7668667000000.0,-5368173000000.0,3482304000000.0,-6937722000000.0,566687000000.0,1773104000000.0,562545000000.0,-595420000000.0,-8253341000000.0,674305000000.0,-692256000000.0,-7419000000.0,,
TKIM.JK,2021-12-31,88000000.0,0.0,105415000.0,-153349000.0,-158675000.0,,249006000.0,44391000.0,86000.0,97565000.0,82446000.0,-5326000.0,,-233887000.0,-35601000.0,,52604000.0,
TKIM.JK,2020-12-31,-1222000.0,0.0,-11282000.0,-181674000.0,-186807000.0,,148334000.0,-21327000.0,570000.0,176192000.0,88515000.0,-5133000.0,,-60657000.0,-9967000.0,,-145000.0,
TKIM.JK,2019-12-31,-4257000.0,0.0,-8160000.0,-110971000.0,-122088000.0,,166516000.0,29071000.0,-90000.0,159409000.0,89685000.0,-11117000.0,,-96792000.0,-25737000.0,,9744000.0,
TKIM.JK,2018-12-31,-103319000.0,0.0,-134202000.0,128684000.0,121978000.0,,245709000.0,28459000.0,-170000.0,40853000.0,92000000.0,-6706000.0,,-296856000.0,-27381000.0,,-3532000.0,
ACES.JK,2021-12-31,,0.0,-83379883858.0,-341153051355.0,-897843373378.0,,704384331764.0,324048852500.0,-154158101.0,1305426267837.0,446283251193.0,-550420528855.0,-6269793168.0,152551441717.0,-84449629919.0,,,
ACES.JK,2020-12-31,,0.0,-165979988499.0,-118602684664.0,-405037914393.0,,733195452445.0,964766323636.0,-2831075636.0,1538615302164.0,448289958806.0,-309286244180.0,1430486990.0,353423706230.0,-162996620416.0,-34184872500.0,,55605399961.0
ACES.JK,2019-12-31,,0.0,-158077866466.0,-391880729748.0,-824311755637.0,,1017394917073.0,456496332811.0,2569713071.0,1436316241843.0,399481633377.0,-483562258825.0,51131232936.0,15332759534.0,-172850107662.0,-34184872500.0,,55605399961.0
ACES.JK,2018-12-31,,0.0,-183916897980.0,115080973572.0,-198587523725.0,,964554026626.0,-103705829310.0,-1751121909.0,280549714304.0,91696239119.0,-389343686991.0,5767540161.0,-779372532209.0,-162382687394.0,-34184872500.0,,69907649533.0
BDMN.JK,2021-12-31,-6129625000000.0,0.0,-6543708000000.0,-6657652000000.0,-10094015000000.0,4607058000000.0,1573113000000.0,1562315000000.0,-15814000000.0,18215852000000.0,396919000000.0,-393668000000.0,-3042695000000.0,10596177000000.0,-425914000000.0,,2099000000.0,
BDMN.JK,2020-12-31,-5002993000000.0,0.0,-5271530000000.0,-6562362000000.0,3254419000000.0,-14090698000000.0,1007614000000.0,3623328000000.0,77900000000.0,5562539000000.0,460212000000.0,-1916205000000.0,11732986000000.0,19373605000000.0,-277040000000.0,,2480000000.0,
BDMN.JK,2019-12-31,-1329238000000.0,0.0,2031338000000.0,2537536000000.0,-2470509000000.0,-6818436000000.0,4073453000000.0,-5954017000000.0,-73038000000.0,-5441808000000.0,310220000000.0,-1444699000000.0,-3563346000000.0,-1706199000000.0,-432532000000.0,,3336000000.0,
BDMN.JK,2018-12-31,3712455000000.0,0.0,3386812000000.0,-3040707000000.0,-1181151000000.0,-2197226000000.0,3922172000000.0,3194738000000.0,88841000000.0,1244360000000.0,381302000000.0,-1341456000000.0,3201012000000.0,-2428202000000.0,-476184000000.0,,4081000000.0,
PWON.JK,2021-12-31,-16000000000.0,0.0,-313992816000.0,1797480481000.0,1625668365000.0,,1382548068000.0,3552976527000.0,2734882000.0,2238566096000.0,646395426000.0,,-171812116000.0,209622602000.0,-120149755000.0,,-3763781000.0,
PWON.JK,2020-12-31,46049680000.0,0.0,-1760922229000.0,-914841862000.0,-1084360260000.0,,929918580000.0,-1422741982000.0,3436540000.0,1419103967000.0,549886691000.0,-757000.0,-169517641000.0,-60701304000.0,-211779045000.0,,1639448000.0,
PWON.JK,2019-12-31,-108549680000.0,0.0,-885808531000.0,-651508138000.0,-1045527883000.0,,2719532999000.0,-144567990000.0,16370418000.0,1770398006000.0,501511000000.0,-336516298000.0,-57503447000.0,-1450645993000.0,-449559610000.0,,2228788000.0,
PWON.JK,2018-12-31,-28651180000.0,0.0,-787687922000.0,-94118990000.0,-488677794000.0,,2542868927000.0,1049412609000.0,-39064315000.0,2364842640000.0,449937348000.0,-288447910000.0,-106110894000.0,-627963635000.0,-151153874000.0,,-3082506000.0,
MSIN.JK,2021-12-31,38000000000.0,0.0,-34428000000.0,-68880000000.0,81626000000.0,,300077000000.0,253918000000.0,,206720000000.0,33832000000.0,-22889000000.0,-522000000.0,-127189000000.0,-72301000000.0,,,173917000000.0
MSIN.JK,2020-12-31,-38000000000.0,0.0,-62857000000.0,131911000000.0,121882000000.0,,167037000000.0,202036000000.0,,143011000000.0,35716000000.0,-22889000000.0,-495000000.0,-59742000000.0,-3442000000.0,-9534000000.0,,173917000000.0
