emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,changeToOperatingActivities,repurchaseOfStock
SMCB.JK,2021-12-31,0.0,-398477000000.0,-4281938000000.0,-1371477000000.0,3119909000000.0,720933000000.0,-236246000000.0,-2868000000.0,1536576000000.0,860987000000.0,-18750000000.0,-194746000000.0,-14702000000.0,-45344000000.0,-485159000000.0,,,
SMCB.JK,2020-12-31,0.0,-344714000000.0,-478145000000.0,-510963000000.0,3119909000000.0,650988000000.0,140062000000.0,-4261000000.0,1000000000000.0,829963000000.0,-10082000000.0,-27568000000.0,-5250000000.0,-480951000000.0,-389693000000.0,,,
SMCB.JK,2019-12-31,0.0,-536593000000.0,455271000000.0,376406000000.0,3119909000000.0,499052000000.0,50145000000.0,988000000.0,209344000000.0,526453000000.0,-942000000.0,-27568000000.0,-78865000000.0,-816161000000.0,-539024000000.0,,,
SMCB.JK,2018-12-31,0.0,-434455000000.0,-160481000000.0,-177307000000.0,3119909000000.0,-827985000000.0,-211212000000.0,-3967000000.0,404517000000.0,1043612000000.0,-157342000000.0,-27568000000.0,-16826000000.0,188890000000.0,-397046000000.0,,,
NISP.JK,2021-12-31,0.0,-21576942000000.0,-881579000000.0,5934842000000.0,,2519574000000.0,2404739000000.0,73605000000.0,17973234000000.0,301845000000.0,-9449000000.0,,6816421000000.0,2138642000000.0,-381389000000.0,-21188772000000.0,12601193000000.0,
NISP.JK,2020-12-31,0.0,-16939552000000.0,1668835000000.0,30700410000000.0,,2101670000000.0,-9896491000000.0,117393000000.0,-23774742000000.0,213074000000.0,-34741000000.0,,29031575000000.0,1766113000000.0,-321503000000.0,-16591312000000.0,-27702014000000.0,
NISP.JK,2019-12-31,0.0,2951217000000.0,-2438000000000.0,3795512000000.0,,2939241000000.0,5132318000000.0,-4110000000.0,-1610301000000.0,201115000000.0,-34741000000.0,,6233512000000.0,489779000000.0,-186688000000.0,3135475000000.0,-5052704000000.0,
NISP.JK,2018-12-31,0.0,-7595909000000.0,365800000000.0,8406066000000.0,,2638064000000.0,1267848000000.0,207812000000.0,249879000000.0,185949000000.0,-34741000000.0,,8040266000000.0,650841000000.0,-329129000000.0,-7270388000000.0,-2963659000000.0,
BBSI.JK,2021-12-31,0.0,-2527100867.0,,958255150788.0,985332705980.0,65663254436.0,-43809270635.0,,-999537320557.0,2002363284.0,,,-27077555192.0,2462820188.0,-1687349358.0,,-1069328510429.0,
BBSI.JK,2020-12-31,0.0,-2441917777.0,,455385758064.0,475284180026.0,35175588135.0,8773687510.0,,-444170152777.0,1323971328.0,,,-19898421962.0,-653092408.0,-2041917777.0,,-479846085287.0,
BBSI.JK,2019-12-31,0.0,-672033400.0,,39622667287.0,50100000000.0,22261801330.0,7112282809.0,,-31838351079.0,839108932.0,,,-10477332713.0,2014897586.0,-226632580.0,,-46848900670.0,
BBSI.JK,2018-12-31,0.0,-237018425.0,,52191692785.0,50100000000.0,25643697802.0,3218044971.0,,-48736629389.0,959784324.0,,,52191692785.0,3395548118.0,-153505001.0,,-74475089445.0,
