zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,website,maxAge,address1,fax,industry,symbol,address2
10340,Financial Services,1085.0,"PT Asuransi Ramayana Tbk, together with its subsidiaries, operates as a general insurance company in Indonesia. The company operates through two segments, General Insurance and Rental of Office Buildings. It offers fire, marine cargo, motor vehicle, property, health, money, personal accident, liability, freight, ship frame, marine hull, aviation, engineering, bond, and miscellaneous insurance products. The company also engages in office building and car rental activities. PT Asuransi Ramayana Tbk was founded in 1956 and is headquartered in Jakarta, Indonesia.",Jakarta,62 21 3193 7148,Indonesia,https://www.ramayanainsurance.com,86400,Jalan Kebon Sirih No. 49,62 21 3193 4825,Insurance—Property & Casualty,ASRM.JK,
11160,Industrials,24.0,"PT Express Transindo Utama Tbk, together with its subsidiaries, provides land transportation services in Indonesia. The company offers regular taxi services under the Express Taxi Regular and Eagle Taxi brand name; premium taxi services under the Tiara Express brand; and value added transportation business services, including limousine rental services under the Limousine Express brand name and bus rental services under the Eagle High brand name. It operates a fleet of approximately 8,000 licensed taxis in the Greater Jakarta area, as well as in other cities, such as Medan, Surabaya, Semarang, Bandung, Bali, and Lombok. The company was founded in 1981 and is headquartered in West Jakarta, Indonesia. PT Express Transindo Utama Tbk is a subsidiary of PT Rajawali Corpora.",Jakarta Barat,62 21 2650 7000,Indonesia,https://expressgroup.co.id,86400,Jl. Sukarjo Wiryopranoto No. 11 Maphar,62 21 2650 7001,Railroads,TAXI.JK,Taman Sari
15412,Real Estate,26.0,"PT Aksara Global Development Tbk develops real estate properties in Indonesia. It operates through Apartments and Houses segments. The company's property portfolio includes land, apartments, shop houses, houses, and other properties. It also constructs buildings, bridges, roads, docks, housing buildings, schools, recreational parks, market or modern markets, hospitals, and other buildings; and offers consultation service in the areas of business and management, property, architecture, landscape, design and interior, civil, property agent, and others. In addition, the company is involved in export and import, and wholesale trading activities; and the manufacture of building materials and construction tools. It serves middle-class income families in second-tier cities and urban areas. The company was formerly known as PT Gading Development Tbk and changed its name to PT Aksara Global Development Tbk in September 2018. The company was founded in 2003 and is headquartered in South Jakarta, Indonesia.",Tangerang Selatan,62 21 2933 3521,Indonesia,https://www.agd.co.id,86400,Jln. Otista Raya No. 23,62 21 2933 3520,Real Estate—Development,GAMA.JK,RT 003 RW 011 Ciputat
15560,Industrials,210.0,"PT Inocycle Technology Group Tbk engages in the production and sale of recycle polyester staple fiber in Indonesia, the United States, Japan, the Philippines, India, Saudi Arabia, Morocco, Germany, Spain, Italy, and Australia. The company provides hollow conjugated, solid, and special function fiber; and geotextile non-woven products, including padding, needle punching, and high density padding for use in various industries, such as mining, construction, agriculture, manufacturing, and infrastructure. It also produces homeware products comprising mattresses, pillows, bolsters, blankets, carpets, mattress protectors, and bed cover sets. The company was formerly known as PT Hilon Felt and changed its name to PT Inocycle Technology Group Tbk in 2019. The company was founded in 2001 and is headquartered in Tangerang, Indonesia. PT Inocycle Technology Group Tbk is a subsidiary of PT Hilon Indonesia.",Tangerang,62 21 590 9626,Indonesia,https://www.inocycle.com,86400,Kawasan Industri Pasar Kemis,62 21 590 3310,Waste Management,INOV.JK,Jl. Putera Utama No. 10 Desa Suka Asih Kec. Pasar Kemis
,Consumer Cyclical,313.0,"PT Sriwahana Adityakarta Tbk manufactures and sells corrugated carton packaging solutions. It offers corrugated carton for use in transport, consumer, non-direct contact food, and non-food packaging applications; paper cones; and paper tubes. The company was founded in 1990 and is headquartered in Boyolali, Indonesia. PT Sriwahana Adityakarta Tbk is a subsidiary of PT Sumber Makmur Lumintu.",Boyolali,62 71 768 7170,Indonesia,https://www.sriwahana.id,86400,Jl. Raya Solo - Yogya KM. 16,62 71 768 7178,Packaging & Containers,SWAT.JK,Bendosari Sawit
90234,Technology,10.0,"PT Hensel Davest Indonesia Tbk engages in the financial technology and electronic trading business in Indonesia. It offers application for digital product purchase, billing payment, ticket reservation, and store payment under the DavestPay brand. The company also provides artificial intelligence as a service in e-commerce platforms for business owners; and DoeKu, a platform that lends money in peer-to-peer lending market. In addition, it engages in information, communication, finance consulting, insurance, trading, and consulting businesses, as well as offers payment gateway and switching services. PT Hensel Davest Indonesia Tbk was founded in 2013 and is based in Makassar, Indonesia.",Makassar,62 41 143 9012,Indonesia,https://www.hdi.co.id,86400,Gedung Graha Pena Lt 17 Kav. 1701,,Software—Infrastructure,HDIT.JK,Jl Urip Sumoharjo No. 20
12210,Financial Services,19.0,"PT Pool Advista Finance Tbk operates as a financing company in Indonesia. It offers investment, working capital, multipurpose, and sharia financing. The company was formerly known as PT Indojasa Pratama Finance and changed its name to PT Pool Advista Finance Tbk in November 2017. The company was founded in 2001 and is headquartered in Jakarta Selatan, Indonesia. PT Pool Advista Finance Tbk is a subsidiary of PT Pool Advista Indonesia Tbk.",Jakarta Selatan,62 21 8062 6300,Indonesia,https://paf.co.id,86400,Jl. Letjen Soepono Blok CC6 No. 9-10,62 21 295 10202,Credit Services,POLA.JK,Arteri Permata Hijau
12790,Communication Services,31.0,"PT Visi Telekomunikasi Infrastruktur Tbk provides telecommunication infrastructure services in Indonesia. It offers telecommunication support services. The company was formerly known as PT Golden Retailindo Tbk and changed its name to PT Visi Telekomunikasi Infrastruktur Tbk in August 2016. PT Visi Telekomunikasi Infrastruktur Tbk was founded in 1995 and is headquartered in Jakarta Selatan, Indonesia. PT Visi Telekomunikasi Infrastruktur Tbk is a subsidiary of PT Tower Bersama Infrastructure Tbk.",Jakarta Selatan,62 21 797 5207,Indonesia,https://www.ptvti.co.id,86400,Mutiara Building,62 21 797 5208,Telecom Services,GOLD.JK,2nd Floor Jl. Mampang Prapatan No.10
12190,Real Estate,8.0,"PT Charnic Capital Tbk, an investment holding company, engages in the property business in Indonesia. The company offers office building management and rental services; and invests in shares of public and non-public companies. The company was founded in 2007 and is headquartered in Jakarta, Indonesia. PT Charnic Capital Tbk is a subsidiary of Pt Indovest Central.",Jakarta,62 21 522 6488,Indonesia,https://www.charnic.com,86400,Menara Sudirman,62 21 522 6518,Real Estate Services,NICK.JK,8th Floor Jl. Jend. Sudirman Kav. 60
13350,Consumer Defensive,149.0,"PT Andira Agro Tbk owns, operates, and manages a crude palm oil mill and oil plantations in Indonesia. It is involved in cultivating and harvesting fresh fruit bunches (FFB) from palm trees, as well as extracting and refining crude palm oil and palm kernel from FFB. The company was incorporated in 1995 and is headquartered in East Jakarta, Indonesia.",East Jakarta,62 21 856 4955,Indonesia,https://www.andiraagro.com,86400,Meta Epsi Building,62 21 856 4956,Farm Products,ANDI.JK,Jl. Mayjen D.I. Panjaitan Kav. 2
