symbol,shortName,longName,sector,fullTimeEmployees,industry,longBusinessSummary,city,address1,address2,website,phone,fax
BBCA.JK,Bank Central Asia Tbk.,PT Bank Central Asia Tbk,Financial Services,25004.0,Banks—Regional,"PT Bank Central Asia Tbk, together with its subsidiaries, provides banking products and services to individual, corporate, and small and medium enterprise customers in Indonesia and internationally. It offers savings accounts; motorcycle financing, as well as car, housing, working capital, and investment loans; mutual funds and bonds; electronic money services; credit cards; business collection services; and home and eBanking, remittance, and customer services. The company also provides investment financing, working capital financing, auto and multipurpose financing, operating lease, other financing activities, money lending and remittance, securities brokerage dealing and securities issuance underwriting, general or loss insurance, life insurance, Sharia banking, and venture capital services. As of December 2021, it operated 1,334 offices comprising 137 main branch offices; 1,105 permanent sub-branch offices; 70 mobile sub-branch offices; and 22 functional offices, as well as total 18,034 automated teller machines (ATMs) consisting of cash recycling machines and multi-functional ATMs. PT Bank Central Asia Tbk was founded in 1955 and is headquartered in Jakarta, Indonesia. PT Bank Central Asia Tbk is a subsidiary of PT Dwimuria Investama Andalan.",Jakarta,Menara BCA,Grand Indonesia Jl. M.H. Thamrin No. 1,https://www.bca.co.id,62 21 2358 8000,62 21 2358 8300
BBRI.JK,Bank Rakyat Indonesia (Persero),PT Bank Rakyat Indonesia (Persero) Tbk,Financial Services,78952.0,Banks—Regional,"PT Bank Rakyat Indonesia (Persero) Tbk provides various banking products and services in Indonesia, Singapore, Timor Leste, Hong Kong, Taiwan, Singapore, and the United States. The company offers current and savings accounts; time deposits; house, micro business, working capital, investment, food, warehouse receipt, partnership, franchise, and cash collateral loans; and supply chain financing solutions. It also provides banking services, such as bill payment, deposit, online transaction, money transfer, and remittance services; investment products, such as pension and mutual funds, and retail bonds and retail sukuk products; import and export services; letter of credits; and BRI RTE online system and money changer services. In addition, the company offers Internet banking and merchant services; credit cards; wealth management services; business guarantee and clearing business services; financial and institutional business banking services; and treasury, custodian, trustee, and cash management services. PT Bank Rakyat Indonesia (Persero) Tbk was founded in 1895 and is headquartered in Jakarta, Indonesia.",Jakarta,Gedung BRI,Jl. Jenderal Sudirman Kav.44-46,https://bri.co.id,62 21 251 0244,62 21 250 0077
TLKM.JK,Telkom Indonesia (Persero) Tbk.,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,20897.0,Telecom Services,"Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk provides telecommunications, informatics, and network services worldwide. The company's Mobile segment offers mobile voice, SMS, and mobile broadband services; and digital services, including financial services, video on demand, music, gaming, IoT, big data analytics, and digital advertising services. Its Consumer segment provides fixed voice and broadband services; and IPTV and related consumer digital services. The company's Enterprise segment offers ICT and digital platform that covers enterprise-grade connectivity services, including satellite, IT services, data center and cloud, and business process outsourcing services, as well as CPE trading and managed, cyber security, financial, big data, digital advertising, e-health, managed ATM, and professional services. Its Wholesale and International Business segment provides wholesale voice, managed, A2P SMS, IP transit and connectivity, data center and cloud, security, and value added and digital services; mobile network operator, mobile virtual network operator, and call center services; and tower and infrastructure services to other licensed operator companies and institutions. The company's Others segment offers digital services, such as digital platform, digital content, and e-commerce; and property management services. The company also provides building management and maintenance services, payment, business management consulting and capital venture, health insurance administration, tourism, directory information, telecommunication construction, and multimedia portal services; acts as a civil consultant and developer; and leases offices. As of December 31, 2020, it had approximately 9.1 million fixed wireline subscribers, including 8.0 million fixed broadband subscribers; and 169.5 million cellular subscribers, including 115.9 million mobile broadband subscribers. The company was founded in 1884 and is headquartered in Bandung, Indonesia.",Bandung,Jalan Japati No. 1,,https://www.telkom.co.id,62 22 452 1404,62 22 720 6757
BMRI.JK,Bank Mandiri (Persero) Tbk.,PT Bank Mandiri (Persero) Tbk,Financial Services,37632.0,Banks—Regional,"PT Bank Mandiri (Persero) Tbk provides various banking products and services to individuals and businesses in Indonesia, Singapore, Hong Kong, Timor Leste, Shanghai, Malaysia, the United Kingdom, and the Cayman Islands. It offers savings and current accounts, time deposits, demand deposits, and foreign currency savings and current accounts; motorcycle loans, mortgage loan, and housing loans, as well as loans for various purposes, such as education, home renovation, marriage, health, and other needs for individuals; and working capital loans, investment loans, people's business loans, syndicated loans, and micro business loans for businesses. The company also provides investment products comprising mutual funds, stocks, and bond trading; life, health, and general insurance products; credit, debit, and corporate cards; e-banking services; digital lending; cash management services; trade finance services, value chain, supply chain management, global and domestic trade, export and import, standby letter of credit, and bank guarantee, as well as spot and forex services; custodial services; treasury services, including cash transaction/liquidity, hedging, and investment products; trust services comprising trustee, paying agent, security agent, escrow agent, monitoring agent, and receiving bank services; and money transfer, remittance services, and venture capital financing. As of 31 December 2021, it operated 2,609 branches, including 137 branch offices, 2,465 sub-branch offices, and 7 overseas branch offices; and 13,087 ATM facilities. The company was founded in 1998 and is headquartered in Jakarta, Indonesia.",Jakarta,Plaza Mandiri,Jl. Jenderal Gatot Subroto Kav. 36-38,https://bankmandiri.co.id,62 21 526 5045,62 21 527 4477
ARTO.JK,Bank Jago Tbk.,PT Bank Jago Tbk,Financial Services,427.0,Banks—Regional,"PT Bank Jago Tbk provides various banking products and services for small and medium enterprises in Indonesia. It accepts current and savings accounts, and time deposits, as well as Mudharabah deposits; and offers working capital credit, investment credit, consumer credit, multipurpose credit, and working capital financing with murabahah bil wakalah contract, as well as provides bank guarantees. The company also offers bill payment, remittance/RTGS/SKN, inter-cities warkat invoices, in-city warkat invoices  clearing, ATM, and customer fund account services, as well as debit cards. As of December 31, 2021, it operated 2 branch offices, 2 sub-branch offices, 1 Sharia branch office, and 4 ATMs. The company was formerly known as PT Bank Artos Indonesia Tbk and changed its name to PT Bank Jago Tbk in June 2020. PT Bank Jago Tbk was founded in 1992 and is headquartered in Jakarta, Indonesia.",Jakarta,Menara BTPN,"Lantai 46 Jl. Dr. Ide Anak Agung Gde Agung Kav. 5.5 – 5.6, South Jakarta",https://www.jago.com,62 21 509 27460,62 21 509 27479
ASII.JK,Astra International Tbk.,PT Astra International Tbk,Consumer Cyclical,126079.0,Auto Parts,"PT Astra International Tbk, together with its subsidiaries, operates in the automotive, financial services, heavy equipment, mining, construction, energy, agri, infrastructure and logistics, information technology, and property businesses in Indonesia. It offers cars, trucks, and motorcycles of various brands; manufactures and sells automotive components to the original equipment for manufacturers and replacement markets, as well as provides consultation services to its customers; financing for cars, motorcycles, and heavy equipment; life, vehicle, and health insurance, as well as other insurance for commercial business; and various banking products and services. The company also distributes heavy equipment for the mining, plantation, construction, forestry, transportation, and material handling industries; provides coal mining contracting services; operates coal mines; and produces crude palm oil. In addition, it is involved in the operation of toll roads; rental of vehicles; sale of used cars; and provision of logistics and warehousing services, as well as freight forwarding service through ground, sea, and air transportation. Further, the company offers various information technology business solutions based on document, information, and communication technology; and engages in the property development and management activities. Additionally, it is involved in the foundation; formwork and bekisting; pump services; and mechanical, electrical, and plumbing works. The company was incorporated in 1957 and is headquartered in Jakarta, Indonesia. PT Astra International Tbk is a subsidiary of Jardine Cycle & Carriage Limited.",Jakarta,Menara Astra,Lantai 59 Jl. Jenderal Sudirman Kav 5-6,https://www.astra.co.id,62 21 5084 3888,62 21 6530 4957
UNVR.JK,Unilever Indonesia Tbk.,PT Unilever Indonesia Tbk,Consumer Defensive,4813.0,Household & Personal Products,"PT Unilever Indonesia Tbk manufactures, markets, and distributes consumer goods in Indonesia. It offers soaps, detergents, dairy based foods, ice creams, savories, soy sauce, cosmetic products, tea-based beverages, and fruit juices. The company provides its products under the Axe, Bango, Buavita, Cif, Citra, Clear, Clear Men, Close Up, Cornetto, Dove, Feast, Feast, Glow & Lovely, Hellmann's, Jawara, Knorr, Lifebuoy, Lipton, Love Beauty & Planet, Lux, Magnum, Molto, Paddle Pop, Pepsodent, Pond's, Pond's Men, Populaire, Rexona, Rinso, Royco, SariWangi, Seru, Simple, St. Ives, Suave, Sunlight, Sunsilk, Superpell, TRESemmé, The Vegetarian Butcher, Unilever Professional, Vaseline Men, Viennetta, Vixal, Wall's, Wipol, Zwitsalm, and other brands. It also leases office space. The company was founded in 1933 and is headquartered in Tangerang, Indonesia. PT Unilever Indonesia Tbk is a subsidiary of Unilever Indonesia Holding B.V.",Tangerang,Grha Unilever,Jl. BSD Boulevard Barat Green Office Park Kavling 3 BSD City,https://www.unilever.co.id,62 21 8082 7000,62 21 8082 7002
TPIA.JK,Chandra Asri Petrochemical Tbk.,PT. Chandra Asri Petrochemical Tbk,Basic Materials,2114.0,Specialty Chemicals,"PT. Chandra Asri Petrochemical Tbk, together with its subsidiaries, operates as an integrated petrochemical company in Indonesia and Singapore. It operates through Olefin; Polyolefin; Styrene Monomer; Butadiene; Methyl Tertiary Butyl Ether & Butene-1; and Tanks and Jetty Rental segments. The company offers olefins, such as ethylene, propylene, mixed C4, pyrolysis gasoline, and pyrolysis fuel oil. It also provides polyethylene products, including linear low density and high-density polyethylene under the Asrene brand name used in films, injection molding, blow molding, pipe, monofilament, fishnet, tarpaulin, clean water pipes, jerry cans, cosmetics, and food grade bottles, as well as agriculture films and plastic packaging applications; and resins under the Grene brand name for environmental-friendly shopping bags, compost bags, disposal bags, bags on roll, etc. In addition, the company offers polypropylene products, which consist of homopolymer, random copolymer, and impact copolymer under the Trilene brand name used for use in flexible packaging, household appliances, yarn, nonwoven bags, furniture, and automotive and electronic parts. Further, it provides styrene monomer that produces polystyrene, expanded polystyrene, styrene acrylonitrile, acrylonitrile butadiene styrene (ABS), styrene butadiene rubber (SBR), styrene butadiene latex (SBL), and unsaturated polyester resin for use in shoe soles, drinking cups, food containers, automotive and electronic parts, building block toys, and helmets; and butadiene for the production of ABS, SBL, SBR, and polybutadiene rubber used in rubber boots, rubber gloves, shoe soles, adhesives, and sealants. The company also exports its products. PT. Chandra Asri Petrochemical Tbk was founded in 1984 and is headquartered in Jakarta, Indonesia.",Jakarta,Wisma Barito Pacific Tower A,7th Floor Jln. Let. Jend. S. Parman Kav. 62 - 63,https://www.chandra-asri.com,62 21 530 7950,62 21 530 8930
EMTK.JK,Elang Mahkota Teknologi Tbk.,PT Elang Mahkota Teknologi Tbk,Communication Services,6783.0,Broadcasting,"PT Elang Mahkota Teknologi Tbk, through its subsidiaries, engages in the media, solutions, healthcare, and other businesses in Indonesia. The company's Media segment is involved in the free-to-air television broadcasting business through four television channels, including PT Indosiar Visual Mandiri, PT Surya Citra Televisi, PT Surya Citra Pesona, and PT Omni Intivision, as well as content, film and video production and distribution, megaportal website, and digital publishing businesses. Its Solutions segment provides a range of infrastructure solutions and services that include telecommunications and networking, banking software and hardware, integrated very small aperture terminal solutions, and telecommunication's retail distribution solutions. The company's Healthcare segment offers a range of medical services. Its Others segment provides connectivity services, such as internet and banking services, as well as engages in investment and other businesses. The company is also involved in trading of medical equipment, leasing of broadcasting and film studios, trading of multimedia film and content, content management and production, ad based video-on-demand and subscription video-on demand, and online media businesses; and provision of tower lease, management, tourism, artist management, and outdoor media advertising services. PT Elang Mahkota Teknologi Tbk was founded in 1983 and is based in Jakarta, Indonesia.",Jakarta,SCTV Tower,18th Floor Senayan City Jl. Asia Afrika Lot 19,https://www.emtek.co.id,62 21 7278 2066,62 21 7278 2194
BBNI.JK,Bank Negara Indonesia (Persero),PT Bank Negara Indonesia (Persero) Tbk,Financial Services,26865.0,Banks—Regional,"PT Bank Negara Indonesia (Persero) Tbk, together with its subsidiaries, provides various banking products and services in Indonesia, the United States, Europe, and Asia. The company offers current, savings, and money market accounts, and time deposit products. It also provides credit facilities for the purchase of houses, villas, apartments, condominiums, home shops, home offices, and land plots, as well as for construction/renovation, top-up, and refinancing; and pension loans. In addition, the company offers debit and credit cards; SMS, Internet, and phone banking services, as well as automated teller machines; treasury services; transactional banking products, such as payment, collection, liquidity, and information management services; small and long-term loans, which include working capital credit, investment credit, bank guarantee, local letter of credit, and letter of credit; and customer analysis and portfolio management services. Further, it provides facilities for foreign exchange services; investment products, such as government, retail, and company bonds; transaction derivatives; BNIFX, a web-based digital platform to conduct non-physical forex transactions directly with BNI treasury dealers; local currency settlement; and trade finance services, which include export and import LC and non-LC, standby letter of credit, bill collection financing, open account financing, and BNI Trade Online, a digital service to submit requests for trade transactions online. The company serves agriculture, telecommunication, food and beverage, oil and gas, mining, chemicals, construction, electricity, and wholesale and retail. As of December 31, 2021, the company operated 195 domestic branches, 1,097 sub-branches, and 874 other outlets, as well as 5 overseas branches located in Singapore, Hong Kong, Tokyo, London, and Seoul; and 1 representative office in New York. PT Bank Negara Indonesia (Persero) Tbk was founded in 1946 and is headquartered in Jakarta Pusat, Indonesia.",Jakarta Pusat,Gedung Grha BNI,Jl. Jenderal Sudirman Kav. 1,https://www.bni.co.id,62 21 251 1946,62 21 251 1961
