symbol,shortName,longName,exchange,market,quoteType
BBCA.JK,Bank Central Asia Tbk.,PT Bank Central Asia Tbk,JKT,id_market,EQUITY
BBRI.JK,Bank Rakyat Indonesia (Persero),PT Bank Rakyat Indonesia (Persero) Tbk,JKT,id_market,EQUITY
TLKM.JK,Telkom Indonesia (Persero) Tbk.,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,JKT,id_market,EQUITY
BMRI.JK,Bank Mandiri (Persero) Tbk.,PT Bank Mandiri (Persero) Tbk,JKT,id_market,EQUITY
ARTO.JK,Bank Jago Tbk.,PT Bank Jago Tbk,JKT,id_market,EQUITY
ASII.JK,Astra International Tbk.,PT Astra International Tbk,JKT,id_market,EQUITY
UNVR.JK,Unilever Indonesia Tbk.,PT Unilever Indonesia Tbk,JKT,id_market,EQUITY
TPIA.JK,Chandra Asri Petrochemical Tbk.,PT. Chandra Asri Petrochemical Tbk,JKT,id_market,EQUITY
EMTK.JK,Elang Mahkota Teknologi Tbk.,PT Elang Mahkota Teknologi Tbk,JKT,id_market,EQUITY
BBNI.JK,Bank Negara Indonesia (Persero),PT Bank Negara Indonesia (Persero) Tbk,JKT,id_market,EQUITY
HMSP.JK,H.M. Sampoerna Tbk.,PT Hanjaya Mandala Sampoerna Tbk,JKT,id_market,EQUITY
ICBP.JK,Indofood CBP Sukses Makmur Tbk.,PT Indofood CBP Sukses Makmur Tbk,JKT,id_market,EQUITY
CPIN.JK,Charoen Pokphand Indonesia Tbk,PT Charoen Pokphand Indonesia Tbk,JKT,id_market,EQUITY
BYAN.JK,Bayan Resources Tbk.,PT Bayan Resources Tbk,JKT,id_market,EQUITY
MDKA.JK,Merdeka Copper Gold Tbk.,PT Merdeka Copper Gold Tbk,JKT,id_market,EQUITY
UNTR.JK,United Tractors Tbk.,PT United Tractors Tbk,JKT,id_market,EQUITY
BRPT.JK,Barito Pacific Tbk.,PT Barito Pacific Tbk,JKT,id_market,EQUITY
ADRO.JK,Adaro Energy Tbk.,PT Adaro Energy Tbk,JKT,id_market,EQUITY
KLBF.JK,Kalbe Farma Tbk.,PT Kalbe Farma Tbk.,JKT,id_market,EQUITY
SMMA.JK,Sinarmas Multiartha Tbk.,PT Sinar Mas Multiartha Tbk,JKT,id_market,EQUITY
BRIS.JK,Bank Syariah Indonesia Tbk.,PT Bank Syariah Indonesia Tbk,JKT,id_market,EQUITY
MTEL.JK,Dayamitra Telekomunikasi Tbk.,PT Dayamitra Telekomunikasi,JKT,id_market,EQUITY
TBIG.JK,Tower Bersama Infrastructure Tb,PT Tower Bersama Infrastructure Tbk,JKT,id_market,EQUITY
MEGA.JK,Bank Mega Tbk.,PT Bank Mega Tbk,JKT,id_market,EQUITY
GGRM.JK,Gudang Garam Tbk.,PT Gudang Garam Tbk,JKT,id_market,EQUITY
AVIA.JK,Avia Avian Tbk.,PT Avia Avian Tbk,JKT,id_market,EQUITY
INDF.JK,Indofood Sukses Makmur Tbk.,PT Indofood Sukses Makmur Tbk,JKT,id_market,EQUITY
BNLI.JK,Bank Permata Tbk.,PT Bank Permata Tbk,JKT,id_market,EQUITY
ANTM.JK,Aneka Tambang Tbk.,PT Aneka Tambang Tbk,JKT,id_market,EQUITY
TOWR.JK,Sarana Menara Nusantara Tbk.,PT Sarana Menara Nusantara Tbk.,JKT,id_market,EQUITY
TCPI.JK,TRANSCOAL PACIFIC TBK,PT Transcoal Pacific Tbk,JKT,id_market,EQUITY
BUKA.JK,Bukalapak.com Tbk.,PT Bukalapak.com Tbk,JKT,id_market,EQUITY
MYOR.JK,Mayora Indah Tbk.,PT Mayora Indah Tbk,JKT,id_market,EQUITY
AMRT.JK,Sumber Alfaria Trijaya Tbk.,PT Sumber Alfaria Trijaya Tbk,JKT,id_market,EQUITY
INKP.JK,Indah Kiat Pulp & Paper Tbk.,PT Indah Kiat Pulp & Paper Tbk,JKT,id_market,EQUITY
MASA.JK,Multistrada Arah Sarana Tbk.,PT Multistrada Arah Sarana Tbk,JKT,id_market,EQUITY
DNET.JK,Indoritel Makmur Internasional ,PT Indoritel Makmur Internasional Tbk.,JKT,id_market,EQUITY
INCO.JK,Vale Indonesia Tbk.,PT Vale Indonesia Tbk,JKT,id_market,EQUITY
GEMS.JK,Golden Energy Mines Tbk.,PT Golden Energy Mines Tbk,JKT,id_market,EQUITY
BEBS.JK,Berkah Beton Sadaya Tbk.,PT Berkah Beton Sadaya Tbk,JKT,id_market,EQUITY
BBHI.JK,Allo Bank Indonesia Tbk.,PT Allo Bank Indonesia Tbk,JKT,id_market,EQUITY
SMGR.JK,Semen Indonesia (Persero) Tbk.,PT Semen Indonesia (Persero) Tbk,JKT,id_market,EQUITY
INTP.JK,Indocement Tunggal Prakarsa Tbk,PT Indocement Tunggal Prakarsa Tbk,JKT,id_market,EQUITY
SRTG.JK,Saratoga Investama Sedaya Tbk.,PT Saratoga Investama Sedaya Tbk,JKT,id_market,EQUITY
DSSA.JK,Dian Swastatika Sentosa Tbk,PT Dian Swastatika Sentosa Tbk,JKT,id_market,EQUITY
ISAT.JK,Indosat Tbk.,PT Indosat Tbk,JKT,id_market,EQUITY
PGAS.JK,Perusahaan Gas Negara Tbk.,PT Perusahaan Gas Negara Tbk,JKT,id_market,EQUITY
EXCL.JK,XL Axiata Tbk.,PT XL Axiata Tbk,JKT,id_market,EQUITY
PTBA.JK,Bukit Asam Tbk.,PT Bukit Asam Tbk,JKT,id_market,EQUITY
MIKA.JK,Mitra Keluarga Karyasehat Tbk.,PT Mitra Keluarga Karyasehat Tbk,JKT,id_market,EQUITY
AGRO.JK,Bank Raya Indonesia Tbk.,PT Bank Rakyat Indonesia Agroniaga Tbk,JKT,id_market,EQUITY
BANK.JK,Bank Aladin Syariah Tbk.,PT Bank Aladin Syariah Tbk,JKT,id_market,EQUITY
JSMR.JK,Jasa Marga (Persero) Tbk.,PT Jasa Marga (Persero) Tbk,JKT,id_market,EQUITY
CASA.JK,Capital Financial Indonesia Tbk,PT Capital Financial Indonesia Tbk,JKT,id_market,EQUITY
SIDO.JK,Industri Jamu dan Farmasi Sido ,PT Industri Jamu dan Farmasi Sido Muncul Tbk,JKT,id_market,EQUITY
BTPS.JK,Bank BTPN Syariah Tbk.,PT Bank BTPN Syariah Tbk,JKT,id_market,EQUITY
HRUM.JK,Harum Energy Tbk.,PT Harum Energy Tbk,JKT,id_market,EQUITY
CMRY.JK,Cisarua Mountain Dairy Tbk.,PT Cisarua Mountain Dairy Tbk,JKT,id_market,EQUITY
FREN.JK,Smartfren Telecom Tbk.,PT Smartfren Telecom Tbk,JKT,id_market,EQUITY
BNII.JK,Bank Maybank Indonesia Tbk.,PT Bank Maybank Indonesia Tbk,JKT,id_market,EQUITY
BNGA.JK,Bank CIMB Niaga Tbk.,PT Bank CIMB Niaga Tbk,JKT,id_market,EQUITY
TKIM.JK,Pabrik Kertas Tjiwi Kimia Tbk.,PT Pabrik Kertas Tjiwi Kimia Tbk,JKT,id_market,EQUITY
ACES.JK,Ace Hardware Indonesia Tbk.,PT Ace Hardware Indonesia Tbk,JKT,id_market,EQUITY
BDMN.JK,Bank Danamon Indonesia Tbk.,PT Bank Danamon Indonesia Tbk,JKT,id_market,EQUITY
PWON.JK,Pakuwon Jati Tbk.,PT Pakuwon Jati Tbk,JKT,id_market,EQUITY
