emiten,tanggal,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
TCPI.JK,2021-12-31,,,85411000000,100483000000,78745000000,114309000000,322551000000,183361000000,183361000000,24881000000,-86843000000,,,,833000000,1670829000000,1487468000000,1348278000000,-97950000000,,84578000000,78745000000
TCPI.JK,2020-12-31,,,57886000000,92651000000,56130000000,94134000000,282692000000,169281000000,169281000000,5991000000,-103570000000,,,,156000000,1648031000000,1478750000000,1365339000000,-111395000000,,57730000000,56130000000
TCPI.JK,2019-12-31,,,269950000000,93927000000,263502000000,109597000000,525066000000,404463000000,404463000000,4545000000,-120169000000,,,,461000000,2287888000000,1883425000000,1762822000000,-134513000000,,269489000000,263502000000
TCPI.JK,2018-12-31,,,267723000000,88373000000,253946000000,114513000000,495389000000,369836000000,369836000000,4307000000,-92488000000,,,,2113000000,2287702000000,1917866000000,1792313000000,-102113000000,,265610000000,253946000000
BUKA.JK,2021-12-31,,,-1500980187000,25961463000,-1672959343000,3091689193000,1427697247000,-1674517363000,-1674517363000,10525417000,-18063539000,,,,174763548000,1869122325000,3543639688000,441425078000,173537176000,,-1675743735000,-1672959343000
BUKA.JK,2020-12-31,,,-1832142744000,10609429000,-1349041582000,3017197620000,1228403996000,-1814039614000,-1814039614000,25245990000,-8340825000,,,,-483100591000,1351664460000,3165704074000,123260464000,-18103130000,,-1349042153000,-1349041582000
BUKA.JK,2019-12-31,,,-2795350000000,10609429000,-2795350000000,3590005073000,808727402000,-2787448259000,-2787448259000,6170588000,-8340825000,,,,0,1076603891000,3864052150000,267876489000,-7901741000,,-2795350000000,-2795350000000
BUKA.JK,2018-12-31,,,-2233225601000,192000,-2243420328000,2733945900000,291907495000,-2461481167000,-2461481167000,19442762000,-8340825000,,,,10194728000,291907495000,2753388662000,0,228255566000,,-2243420329000,-2243420328000
MYOR.JK,2021-12-31,,,1549648556686,241324245747,1186598590767,5144021611643,6916337525798,1772315914155,1772315914155,,-320535214640,,,,338595908733,27904558322183,26132242408028,20988220796385,-222667357469,,1211052647953,1186598590767
MYOR.JK,2020-12-31,,,2683890279936,260398144391,2060631850945,4458795089809,7289723283964,2830928194155,2830928194155,,-353822336007,,,,585721765291,24476953742651,21646025548496,17187230458687,-147037914219,,2098168514645,2060631850945
MYOR.JK,2019-12-31,,,2704466581011,237526515518,1999303012096,4719284860952,7907847819191,3172264551034,3172264551034,,-355074879758,,,,653062374247,25026739472547,21854474921513,17118891653356,-467797970023,,2051404206764,1999303012096
MYOR.JK,2018-12-31,,,2381942198855,199896782474,1716355870266,3665066561336,6383749546252,2627892008006,2627892008006,,-492638756739,,,,621507918551,24060802395725,21432910387719,17677052849473,-245949809151,,1760434280304,1716355870266
AMRT.JK,2021-12-31,,,2468864000000,199052000000,1950991000000,15831694000000,17681005000000,2765186000000,2765186000000,-915875000000,-322031000000,,,,480114000000,84904301000000,82139115000000,67223296000000,-296322000000,,1988750000000,1950991000000
AMRT.JK,2020-12-31,,,1388967000000,214224000000,1061476000000,14648625000000,15412434000000,1558538000000,1558538000000,-794729000000,-381680000000,,,,300490000000,75826880000000,74268342000000,60414446000000,-169571000000,,1088477000000,1061476000000
AMRT.JK,2019-12-31,,,1453898000000,187363000000,1112513000000,13633599000000,14541634000000,1735318000000,1735318000000,-827283000000,-397856000000,,,,315010000000,72944988000000,71209670000000,58403354000000,-281420000000,,1138888000000,1112513000000
