maxAge,endDate,cash,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,longTermInvestments,propertyPlantEquipment,intangibleAssets,otherAssets,deferredLongTermAssetCharges,totalAssets,accountsPayable,shortLongTermDebt,otherCurrentLiab,longTermDebt,otherLiab,minorityInterest,totalCurrentLiabilities,totalLiab,commonStock,retainedEarnings,treasuryStock,capitalSurplus,otherStockholderEquity,totalStockholderEquity,netTangibleAssets,type,kode,shortTermInvestments,goodWill,deferredLongTermLiab
1,2021-12-31,3152278749730.0,15828528343001.0,10589808239229.0,2023239083978.0,31600942926217.0,1322500514371.0,2166220891440.0,623310781789.0,4187362720802.0,4393006843.0,39900337834619.0,18217092357582.0,8231195541137.0,3668865119237.0,2082215476933.0,1031710869712.0,57888200390.0,31127451942313.0,34242630632194.0,356084937600.0,2041377034231.0,613523145351.0,2588833884853.0,613523145351.0,5599819002035.0,4976508220246.0,A,ADHI.JK,,,
1,2020-12-31,2363649065033.0,17078643907495.0,7783397399962.0,2856612927893.0,30090503386345.0,1280912219365.0,2230450043286.0,169116476745.0,4322906500810.0,3308577142.0,38093888626551.0,18054923200256.0,4686807433333.0,3958992509097.0,5058487974099.0,374064707325.0,26543584478.0,27082649503604.0,32519078179193.0,356084937600.0,1989824895076.0,613523145351.0,2588833884853.0,613523145351.0,5548266862880.0,5379150386135.0,A,ADHI.JK,,,
1,2019-12-31,3255009864614.0,19520102855963.0,4778581868397.0,2753678601775.0,30315155278021.0,1146250058497.0,1836864787309.0,,3217563090722.0,2529033085.0,36515833214549.0,16179031409655.0,5628047782982.0,2493191154970.0,4893818644107.0,224989922093.0,24279135516.0,24562726968328.0,29681535534528.0,356084937600.0,3397430406578.0,467669315474.0,2588833884853.0,467669315474.0,6810018544505.0,6810018544505.0,A,ADHI.JK,,,
1,2018-12-31,3263036627238.0,15582706256950.0,4360890510200.0,2172840196712.0,25386859425078.0,952540572014.0,1573323727930.0,,2178877248275.0,2590945903.0,30091600973297.0,12547724806823.0,3913877913540.0,2133094404301.0,4639577292582.0,232052337089.0,10786961553.0,18934699447368.0,23806329077039.0,356084937600.0,2861896796778.0,467669315474.0,2588833884853.0,467669315474.0,6274484934705.0,6274484934705.0,A,ADHI.JK,,,
1,2022-06-30,2516048310943.0,16734978182060.0,9740721312501.0,1688315190620.0,30687382129124.0,1420850858541.0,2131219908743.0,872242724967.0,4097639470810.0,4666712323.0,39209335092185.0,15733608488831.0,5287840583369.0,4037249039018.0,6080413305457.0,943467884763.0,360239094644.0,26120106978988.0,33145240512444.0,356084937600.0,2077202615116.0,681734047528.0,2588833884853.0,681734047528.0,5703855485097.0,4831612760130.0,Q,ADHI.JK,,,
1,2022-03-31,1334731547799.0,16076041727724.0,10978739475603.0,2250018068648.0,30645497678697.0,1337910015191.0,2147009367631.0,754053884187.0,4050124034769.0,4119301363.0,38934594980475.0,16643051348791.0,8014615732128.0,3908746002139.0,2298227565141.0,1028162318762.0,134831232362.0,29584768618189.0,32912410845328.0,356084937600.0,2050056013797.0,892378066535.0,2588833884853.0,892378066535.0,5887352902785.0,5133299018598.0,Q,ADHI.JK,,,
1,2021-12-31,3152278749730.0,15828528343001.0,10589808239229.0,2023239083978.0,31600942926217.0,1322500514371.0,2166220891440.0,623310781789.0,4187362720802.0,4393006843.0,39900337834619.0,18217092357582.0,8231195541137.0,3668865119237.0,2082215476933.0,1031710869712.0,57888200390.0,31127451942313.0,34242630632194.0,356084937600.0,2041377034231.0,613523145351.0,2588833884853.0,613523145351.0,5599819002035.0,4976508220246.0,Q,ADHI.JK,,,
1,2021-09-30,1625232821238.0,18247932028838.0,10227951607179.0,2648079515772.0,32760923459497.0,1297236598211.0,2192279080896.0,273809578027.0,4234640670954.0,4626929487.0,40758889387585.0,17779957420207.0,8707146919515.0,4403147102738.0,2443270344359.0,455907090544.0,32564320470.0,32257985028152.0,35161038457220.0,356084937600.0,2006844642090.0,613523145352.0,2588833884853.0,613523145352.0,5565286609895.0,5291477031868.0,Q,ADHI.JK,,,
1,2021-12-31,1811141000.0,611547000.0,125738000.0,69006000.0,2838132000.0,993644000.0,2614589000.0,4849000.0,358779000.0,92933000.0,7586936000.0,272409000.0,218971000.0,726687000.0,1294326000.0,430466000.0,321535000.0,1361558000.0,3128621000.0,342940000.0,2783495000.0,-144149000.0,1154494000.0,-47079000.0,4136780000.0,3354988000.0,A,ADRO.JK,220700000.0,776943000.0,
1,2020-12-31,1173703000.0,268373000.0,105134000.0,31848000.0,1731867000.0,690569000.0,2908930000.0,6479000.0,266778000.0,25136000.0,6381566000.0,214273000.0,596005000.0,76260000.0,788612000.0,419459000.0,239634000.0,1144923000.0,2429852000.0,342940000.0,2347061000.0,-132415000.0,1154494000.0,-132415000.0,3712080000.0,2928658000.0,A,ADRO.JK,152809000.0,776943000.0,
1,2019-12-31,1576191000.0,345994000.0,121030000.0,60418000.0,2109924000.0,730577000.0,3256646000.0,,343015000.0,33212000.0,7217105000.0,335521000.0,507986000.0,231497000.0,1294662000.0,595432000.0,253323000.0,1232601000.0,3233710000.0,342940000.0,2288597000.0,-55959000.0,1154494000.0,-55959000.0,3730072000.0,2953129000.0,A,ADRO.JK,6291000.0,776943000.0,
1,2018-12-31,927896000.0,385734000.0,112005000.0,85512000.0,1600294000.0,591785000.0,3906424000.0,,168642000.0,27336000.0,7060755000.0,341766000.0,182671000.0,181903000.0,1085959000.0,730372000.0,652293000.0,816443000.0,2758063000.0,342940000.0,2161277000.0,-8312000.0,1154494000.0,-8312000.0,3650399000.0,2856789000.0,A,ADRO.JK,89147000.0,793610000.0,
1,2022-06-30,2243724000.0,916082000.0,195219000.0,89672000.0,3600352000.0,1458489000.0,2482450000.0,6017000.0,464460000.0,154261000.0,8788711000.0,322173000.0,312055000.0,730751000.0,1258246000.0,419421000.0,418346000.0,1579219000.0,3282098000.0,342940000.0,3696153000.0,-105320000.0,1154494000.0,34616000.0,5088267000.0,4305307000.0,Q,ADRO.JK,155655000.0,776943000.0,
1,2022-03-31,1555677000.0,613697000.0,142356000.0,75960000.0,2573012000.0,1310233000.0,2554390000.0,6285000.0,409060000.0,131645000.0,7629923000.0,255495000.0,281023000.0,273064000.0,1275919000.0,430620000.0,343884000.0,980484000.0,2720187000.0,342940000.0,3183565000.0,-115147000.0,1154494000.0,-259000.0,4565852000.0,3782624000.0,Q,ADRO.JK,185322000.0,776943000.0,
