maxAge,endDate,netIncome,depreciation,changeToNetincome,changeToLiabilities,totalCashFromOperatingActivities,capitalExpenditures,investments,otherCashflowsFromInvestingActivities,totalCashflowsFromInvestingActivities,netBorrowings,otherCashflowsFromFinancingActivities,totalCashFromFinancingActivities,changeInCash,dividendsPaid,type,kode,effectOfExchangeRate,repurchaseOfStock,issuanceOfStock,changeToOperatingActivities
1,2021-12-31,55185184473,205501041092,1255498608137,0,1516184833702,-54915566104.0,-205094948198.0,31862030263.0,-529348663613.0,725912783547.0,-924119268939.0,-198206485392.0,788629684697,,A,ADHI.JK,,,,
1,2020-12-31,23976887476,209562370881,1202575071209,0,1436114329566,-255436540871.0,-147850567431.0,45216574146.0,-573256998962.0,-821708562655.0,-866129093409.0,-1754218130185.0,-891360799581,-66380474121.0,A,ADHI.JK,,,,
1,2019-12-31,663806247566,176539048036,-301183459114,0,539161836488,-313881611303.0,-135025572435.0,63671887555.0,-1557856475751.0,1968976835686.0,-829477178005.0,1010667876639.0,-8026762624,-128831781042.0,A,ADHI.JK,,,,
1,2018-12-31,644158905208,176819728638,32614950064,0,853593583910,-147616264833.0,-148075251943.0,61295219330.0,-1187041268468.0,99197043915.0,-530803450520.0,-534689469648.0,-868137154207,-103083063043.0,A,ADHI.JK,,,,
1,2022-06-30,1551181456,40559881563,604123158986,0,646234222005,-21517824240.0,25893187269.0,8900267963.0,-259156145628.0,1055410591557.0,-261171904790.0,794238686767.0,1181316763144,,Q,ADHI.JK,,,,
1,2022-03-31,8678979566,41038829344,-2009805242040,0,-1960087433130,-24694639099.0,68095465325.0,3314048352.0,21401104068.0,-1458502061.0,122597629192.0,121139127131.0,-1817547201931,,Q,ADHI.JK,,,,
1,2021-12-31,38165437459,63159742380,2947855414288,0,3049180594127,27430866632.0,-372798050149.0,21761547974.0,-410045348870.0,-879209072895.0,-232880243869.0,-1112089316764.0,1527045928492,,Q,ADHI.JK,,,,
1,2021-09-30,8738857759,48175208455,689432103772,0,746346169986,-33556385334.0,93808346320.0,2824473722.0,36856579999.0,419038283364.0,-247939420013.0,171098863351.0,954301613337,,Q,ADHI.JK,,,,
1,2021-12-31,933492000,485947000,16893000,0,1436332000,-179966000.0,-296901000.0,-149586000.0,-644612000.0,77196000.0,13268000.0,-153422000.0,637438000,-146816000.0,A,ADRO.JK,-860000.0,-97070000.0,,
1,2020-12-31,146927000,449360000,142466000,0,738753000,-177273000.0,-182379000.0,-14665000.0,-361657000.0,-482279000.0,-45558000.0,-777967000.0,-402488000,-250130000.0,A,ADRO.JK,-1617000.0,-97070000.0,,
1,2019-12-31,404190000,388678000,124415000,0,917283000,-466678000.0,24094000.0,-6362000.0,-538504000.0,490993000.0,-27461000.0,263300000.0,648295000,-200232000.0,A,ADRO.JK,7652000.0,-97070000.0,,
1,2018-12-31,417720000,354096000,134094000,0,905910000,-412086000.0,-414036000.0,-7529000.0,-800685000.0,-79428000.0,-41314000.0,-370872000.0,-278952000,-250130000.0,A,ADRO.JK,-13305000.0,-97070000.0,,
1,2022-06-30,812588000,151161000,179956000,0,1143705000,-87070000.0,15499000.0,141994000.0,-83089000.0,-4038000.0,-32690000.0,-361776000.0,688047000,-300000000.0,Q,ADRO.JK,-10793000.0,-25048000.0,,
1,2022-03-31,400070000,129483000,-315710000,0,213843000,-70605000.0,-145767000.0,-1136000.0,-96251000.0,28115000.0,-31127000.0,-370830000.0,-255464000,-350000000.0,Q,ADRO.JK,-2226000.0,-17818000.0,,
1,2021-12-31,512589000,128626000,-51731000,0,589484000,-52582000.0,-42137000.0,20000.0,-116099000.0,-105547000.0,28439000.0,-174178000.0,300220000,-350000000.0,Q,ADRO.JK,1013000.0,-97070000.0,,
1,2021-09-30,250939000,120010000,75009000,0,445958000,-49348000.0,-76708000.0,-2404000.0,-128771000.0,-11138000.0,-4555000.0,-15693000.0,303269000,-350000000.0,Q,ADRO.JK,1775000.0,-97070000.0,,
1,2021-12-31,1111613585000,404717270000,1428226588000,0,2944557443000,-241758587000.0,,,-208357987000.0,-1268137984000.0,117784352000.0,-1683257211000.0,1051128778000,-532903579000.0,A,AKRA.JK,-1813467000.0,,,
1,2020-12-31,924918465000,380595689000,-238541177000,0,1066972977000,-341016662000.0,24952485000.0,,-139352627000.0,-756718289000.0,30737862000.0,-1239093498000.0,-311417251000,-395041207000.0,A,AKRA.JK,55897000.0,-118071864000.0,,
1,2019-12-31,717205137000,326886054000,-383794852000,0,660296339000,-807476770000.0,266586000.0,14426397000.0,-779297473000.0,387416348000.0,206396594000.0,-128832144000.0,-310302656000,-722645086000.0,A,AKRA.JK,-62469378000.0,-118071864000.0,,
1,2018-12-31,1644834070000,291533021000,-2385231121000,0,-448864030000,-1222119294000.0,132295650000.0,1449752150000.0,385813753000.0,1019463442000.0,169562615000.0,350753571000.0,399854524000,-883232882000.0,A,AKRA.JK,112151230000.0,-118071864000.0,44960396000.0,
1,2022-06-30,477730910000,105213446000,40685801000,0,623630157000,-54402303000.0,,,-52032964500.0,12529987500.0,31021540500.0,-124214413500.0,483716265000,-167765941500.0,Q,AKRA.JK,36333486000.0,,,
1,2022-03-31,477730910000,105213446000,40685801000,0,623630157000,-54402303000.0,,,-52032964500.0,12529987500.0,31021540500.0,-124214413500.0,483716265000,-167765941500.0,Q,AKRA.JK,36333486000.0,,,
1,2021-12-31,314627668000,109762471000,1259094922000,0,1683485061000,-80839872000.0,,,-58661416000.0,-621538377000.0,29729369000.0,-591809008000.0,1021065217000,-167765941500.0,Q,AKRA.JK,-11949420000.0,,,
1,2021-09-30,246595405000,99503296000,-645506716000,0,-299408015000,-65073810000.0,,,-60379421000.0,34606331000.0,47678163000.0,-154561541000.0,-518988156000,-236846035000.0,Q,AKRA.JK,-4639179000.0,,,
1,2021-12-31,1861743000000,1051796000000,2129126000000,0,5042665000000,-500848000000.0,-1222869000000.0,,-1729827000000.0,-1819322000000.0,,-2221595000000.0,1104772000000,-402273000000.0,A,ANTM.JK,13529000000.0,,,
1,2020-12-31,1149353000000,1107755000000,-38434000000,0,2218674000000,-564687000000.0,-190000000000.0,123292000000.0,-567381000000.0,-1150608000000.0,,-1218456000000.0,348145000000,-67848000000.0,A,ANTM.JK,-84692000000.0,,,
1,2019-12-31,193851147000,1119192032000,320794043000,0,1633837222000,-1235387081000.0,-50000000000.0,331724138000.0,-885313400000.0,-1057110950000.0,,-1363159711000.0,-662825005000,-306048761000.0,A,ANTM.JK,-48189116000.0,,,
