maxAge,endDate,totalRevenue,costOfRevenue,grossProfit,researchDevelopment,sellingGeneralAdministrative,nonRecurring,otherOperatingExpenses,totalOperatingExpenses,operatingIncome,totalOtherIncomeExpenseNet,ebit,interestExpense,incomeBeforeTax,incomeTaxExpense,minorityInterest,netIncomeFromContinuingOps,discontinuedOperations,extraordinaryItems,effectOfAccountingCharges,otherItems,netIncome,netIncomeApplicableToCommonShares,type,kode
1,2021-12-31,11530471713036,9774045780098,1756425932938,{},635365187565,{},60909997286,10470320964949,1060150748087,-617071226237,1060150748087,-778545491374,443079521850,356579721465,57888200390,86499800385,{},{},{},{},55185184473,55185184473,A,ADHI.JK
1,2020-12-31,10827682417205,9091968816661,1735713600544,{},727680741009,{},9333637697,9828983195367,998699221838,-642358582740,998699221838,-745204270779,356340639098,332637986651,26543584478,23702652447,{},{},{},{},23976887476,23976887476,A,ADHI.JK
1,2019-12-31,15307860220494,12971806607215,2336053613279,{},894067305939,{},9333637697,13865873913154,1441986307340,-258411232696,1441986307340,-546834783129,1183575074644,518526653115,24279135516,665048421529,{},{},{},{},663806247566,663806247566,A,ADHI.JK
1,2018-12-31,15655499866493,13148896372495,2506603493998,{},707672316457,{},9333637697,13856568688952,1798931177541,-631154192518,1798931177541,-523743725994,1167776985023,522747535918,10786961553,645029449105,{},{},{},{},644158905208,644158905208,A,ADHI.JK
1,2022-06-30,4341371520066,3944837415144,396534104922,{},182326879893,{},{},4127164295037,214207225029,-112092445340,214207225029,-201385596930,102114779689,85799752759,360239094644,16315026930,{},{},{},{},1551181456,1551181456,Q,ADHI.JK
1,2022-03-31,1985413236711,1682608143904,302805092807,{},149410271029,{},{},1832018414933,153394821778,-86734120481,153394821778,-186212506154,66660701297,47590689758,134831232362,19070011539,{},{},{},{},8678979566,8678979566,Q,ADHI.JK
1,2021-12-31,4179713509387,3508718534754,670994974633,{},144836819311,{},60909997286,3714465351351,465248158036,-210681407880,465248158036,-206866042852,254566750156,191077432777,57888200390,63489317379,{},{},{},{},38165437459,38165437459,Q,ADHI.JK
1,2021-09-30,2906011340311,2492913207614,413098132697,{},156204034533,{},60909997286,2649117242147,256894098164,-173947199200,256894098164,-222014818598,82946898964,67998832491,32564320470,14948066473,{},{},{},{},8738857759,8738857759,Q,ADHI.JK
1,2021-12-31,3992718000,2222972000,1769746000,{},185045000,{},32917000,2440934000,1551784000,-65533000,1551784000,-83334000,1486251000,457658000,321535000,1028593000,{},{},{},{},933492000,933492000,A,ADRO.JK
1,2020-12-31,2534842000,1958113000,576729000,{},165381000,{},42158000,2165652000,369190000,-147025000,369190000,-89425000,222165000,63660000,239634000,158505000,{},{},{},{},146927000,146927000,A,ADRO.JK
1,2019-12-31,3457154000,2492563000,964591000,{},232585000,{},31863000,2757011000,700143000,-41040000,700143000,-66336000,659103000,224101000,253323000,435002000,{},{},{},{},404190000,404190000,A,ADRO.JK
1,2018-12-31,3619751000,2417015000,1202736000,{},193998000,{},-4171000,2606842000,1012909000,-191911000,1012909000,-65084000,820998000,343457000,652293000,477541000,{},{},{},{},417720000,417720000,A,ADRO.JK
1,2022-06-30,2316676000,893491000,1423185000,{},69100000,{},9928000,975873000,1340803000,93055000,1340803000,-20742000,1433858000,528470000,418346000,905388000,{},{},{},{},812588000,812588000,Q,ADRO.JK
1,2022-03-31,1224672000,622784000,601888000,{},66621000,{},-3623000,685782000,538890000,72531000,538890000,-17982000,611421000,171407000,343884000,440014000,{},{},{},{},400070000,400070000,Q,ADRO.JK
1,2021-12-31,1423600000,624628000,798972000,{},54513000,{},7127000,686268000,737332000,66128000,737332000,-18335000,803460000,240142000,321535000,563318000,{},{},{},{},512589000,512589000,Q,ADRO.JK
1,2021-09-30,1006361000,534811000,471550000,{},44216000,{},-1561000,577466000,428895000,-46238000,428895000,-18506000,382657000,106677000,278812000,275980000,{},{},{},{},250939000,250939000,Q,ADRO.JK
1,2021-12-31,25707068900000,23421775124000,2285293776000,{},829987854000,{},9034080000,24260797058000,1446271842000,-710149000,1446271842000,-57068728000,1445561693000,310559937000,1953848784000,1135001756000,{},{},{},{},1111613585000,1111613585000,A,AKRA.JK
1,2020-12-31,17715928111000,15674631864000,2041296247000,{},839872874000,{},-7105786000,16507398952000,1208529159000,34446255000,1208529159000,-74283971000,1242975414000,280978101000,1803979063000,961997313000,{},{},{},{},924918465000,924918465000,A,AKRA.JK
1,2019-12-31,21702637573000,19818560242000,1884077331000,{},790038293000,{},2730163000,20737961728000,964675845000,-51229864000,964675845000,-109792484000,913445981000,213950398000,1730586519000,699495583000,3581696000,{},{},{},717205137000,717205137000,A,AKRA.JK
1,2018-12-31,23548144117000,21998911938000,1549232179000,{},633783792000,{},-53150773000,22579544957000,968599160000,-54042261000,968599160000,-86484498000,914556899000,251216105000,1555723225000,663340794000,933312027000,{},{},{},1644834070000,1644834070000,A,AKRA.JK
1,2022-06-30,11054726719000,10247940469000,806786250000,{},205405609500,{},-2706036000,10450640042500,604086676500,-15139136000,604086676500,-15617505500,588947540500,125242155500,2005532355000,463705385000,{},{},{},{},477730910000,477730910000,Q,AKRA.JK
1,2022-03-31,11054726719000,10247940469000,806786250000,{},205405609500,{},-2706036000,10450640042500,604086676500,-15139136000,604086676500,-15617505500,588947540500,125242155500,2005532355000,463705385000,{},{},{},{},477730910000,477730910000,Q,AKRA.JK
1,2021-12-31,8457542318000,7745419589000,712122729000,{},305575590000,{},17408649000,8068403828000,389138490000,-6338382000,389138490000,-7702273000,382800108000,84209093000,1953848784000,298591015000,{},{},{},{},314627668000,314627668000,Q,AKRA.JK
1,2021-09-30,6543220716000,6059189633000,484031083000,{},181946342000,{},-4335130000,6236800845000,306419871000,2240209000,306419871000,-16620005000,308660080000,82613913000,1941256700000,226046167000,{},{},{},{},246595405000,246595405000,Q,AKRA.JK
1,2021-12-31,38445595000000,30753020000000,7692575000000,{},3202698000000,{},233558000000,34424178000000,4021417000000,-977908000000,4021417000000,-287865000000,3043509000000,1181769000000,18000000,1861740000000,{},{},{},{},1861743000000,1861743000000,A,ANTM.JK
1,2020-12-31,27372461000000,22594397000000,4778064000000,{},2237350000000,{},163468000000,25079433000000,2293028000000,-651850000000,2293028000000,-397717000000,1641178000000,491824000000,21000000,1149354000000,{},{},{},{},1149353000000,1149353000000,A,ANTM.JK
1,2019-12-31,32718542699000,27993248918000,4725293781000,{},3022629292000,{},427637946000,31482340100000,1236202599000,-549168546000,1236202599000,-500211226000,687034053000,493182022000,19854000,193852031000,{},{},{},{},193851147000,193851147000,A,ANTM.JK
1,2018-12-31,25275245970000,20581724450000,4693521520000,{},2497119519580,{},298024676000,23429114544580,1846131425420,167021375580,1846131425420,-527645280000,2013152801000,377150210000,18970000,1636002591000,{},{},{},{},1636001028000,1636001028000,A,ANTM.JK
1,2022-06-30,9025988000000,7492473000000,1533515000000,{},1625233000000,{},-6897000000,9192932000000,-166944000000,524421000000,-166944000000,-40747000000,357477000000,296964000000,17000000,60513000000,{},{},{},{},60514000000,60514000000,Q,ANTM.JK
1,2022-03-31,9746873000000,7278840000000,2468033000000,{},689123000000,{},161490000000,8142504000000,1604369000000,251606000000,1604369000000,-43619000000,1855975000000,390593000000,18000000,1465382000000,{},{},{},{},1465382000000,1465382000000,Q,ANTM.JK
1,2021-12-31,11969338924000,9797215349000,2172123575000,{},588009069000,{},82064558000,10617855976000,1351482948000,-837978116000,1351482948000,-60782839000,513504832000,362224534000,18000000,151280298000,{},{},{},{},151282951000,151282951000,Q,ANTM.JK
1,2021-09-30,9201233137000,7030927416000,2170305721000,{},990691869000,{},103805650000,8247906142000,953326995000,-131372841000,953326995000,-75039445000,821954154000,271916192000,20397000,550037962000,{},{},{},{},550039094000,550039094000,Q,ANTM.JK
1,2021-12-31,233485000000000,189484000000000,44001000000000,{},16926000000000,{},{},206525000000000,26960000000000,5390000000000,26960000000000,-2271000000000,32350000000000,6764000000000,43562000000000,25586000000000,{},{},{},{},20196000000000,20196000000000,A,ASII.JK
1,2020-12-31,175046000000000,144832000000000,30214000000000,{},15791000000000,{},{},160727000000000,14319000000000,7422000000000,14319000000000,-3392000000000,21741000000000,3170000000000,39792000000000,18571000000000,{},{},{},{},16164000000000,16164000000000,A,ASII.JK
1,2019-12-31,237166000000000,192560000000000,44606000000000,{},16529000000000,{},{},209089000000000,28077000000000,5977000000000,28077000000000,-4382000000000,34054000000000,7433000000000,38916000000000,26621000000000,{},{},{},{},21707000000000,21707000000000,A,ASII.JK
1,2018-12-31,239205000000000,194512000000000,44693000000000,{},16524000000000,{},{},211036000000000,28169000000000,6826000000000,28169000000000,-3105000000000,34995000000000,7623000000000,37416000000000,27372000000000,{},{},{},{},21673000000000,21673000000000,A,ASII.JK
1,2022-06-30,71821000000000,55766000000000,16055000000000,{},4296000000000,{},{},60062000000000,11759000000000,5585000000000,11759000000000,-504000000000,17344000000000,2699000000000,48244000000000,14645000000000,{},{},{},{},11315000000000,11315000000000,Q,ASII.JK
1,2022-03-31,71871000000000,56132000000000,15739000000000,{},6599000000000,{},{},62731000000000,9140000000000,2318000000000,9140000000000,-509000000000,11458000000000,2186000000000,46091000000000,9272000000000,{},{},{},{},6859000000000,6859000000000,Q,ASII.JK
1,2021-12-31,66083000000000,52941000000000,13142000000000,{},5471000000000,{},{},58449000000000,7634000000000,1033000000000,7634000000000,-539000000000,8667000000000,2099000000000,43562000000000,6568000000000,{},{},{},{},5219000000000,5219000000000,Q,ASII.JK
1,2021-09-30,60007000000000,47730000000000,12277000000000,{},4531000000000,{},{},52339000000000,7668000000000,2024000000000,7668000000000,-570000000000,9692000000000,1817000000000,43016000000000,7875000000000,{},{},{},{},6146000000000,6146000000000,Q,ASII.JK
1,2021-12-31,2847323717000,1343847460000,1503476257000,{},393703214000,{},{},1737550674000,1109773043000,-879712405000,1109773043000,-817917145000,230060638000,87131847000,96827237000,142928791000,{},{},{},{},145693623000,145693623000,A,ASRI.JK
