code,name,address,website,phone,description,share_list,sector,industry
AALI,Astra Agro Lestari Tbk,"Jalan Pulo Ayang Raya - Block OR no. 1 Pulogadung Industrial Estate, Jakarta",https://www.astra-agro.co.id,62 21 461 6555,"<p>PT Astra Agro Lestari Tbk, together with its subsidiaries, engages in the palm oil business in Indonesia. It provides crude palm oil and its derivatives, palm kernel and its derivatives, and other products. The company manages 286,727 hectares of oil palm plantations in Sumatra, Kalimantan, and Sulawesi. It also operates palm oil refineries in the Mamuju Utara Regency in West Sulawesi province; and Dumai, Riau province. In addition, the company operates fertilizer blending plants located in Pangkalan Bun, Central Kalimantan, and Donggala, Central Sulawesi. It exports its products in China, South Korea, India, Bangladesh, the Philippines, Pakistan, Singapore, and Kenya. The company was founded in 1988 and is headquartered in Jakarta, Indonesia. PT Astra Agro Lestari Tbk is a subsidiary of PT Astra International Tbk.</p>",1924688333,Consumer Defensive,Farm Products
ABBA,Mahaka Media Tbk.,"Sahid Office Boutique - Blok G Jl. Jend Sudirman Kav. 86, Jakarta",https://www.mahakamedia.com,62 21 573 9203,"<p>PT Mahaka Media Tbk, through its subsidiaries, operates as a multiplatform media company in Indonesia and internationally. It engages in making, selling, collecting, and distributing community contents through various platforms. The company publishes Harian Republika Daily, a Moslem newspaper; Republika Penerbit, which specializes in Islamic reference books, novels, and children stories; Golf Digest, a golf media, including e-magazine, e-newsletter, and social media, as well as golfdigest.id, a Website; and Harian Indonesia, a Chinese-language newspaper. It also provides Republika Media Visual, which offers content and program with Islamic background; Jak TV, a television station; and various commercial radio stations, including JAK 101 FM, GEN 98.7 FM Jakarta, GEN 103.1 FM, Surabaya, HOT 93.2 FM, Most Radio 105.8 FM, KIS 95.1 FM, and Mustang 88.0 FM. In addition, the company offers outdoor advertising media services under the Mahaka Advertising name; brand activation services under the Alive Indonesia name; and discount services under the CardPlus name. Further, it provides online services through Jak-tv.co.id, 98.7 GenFM.co.id, 101 JakFM.co.id, and Republika.co.id. The company was formerly known as PT Abdi Bangsa Tbk and changed its name to PT Mahaka Media Tbk in May 2010. PT Mahaka Media Tbk was founded in 1992 and is headquartered in Jakarta, Indonesia. PT Mahaka Media Tbk is a subsidiary of PT Beyond Media.</p>",3935892857,Communication Services,Publishing
ABDA,Asuransi Bina Dana Arta Tbk.,"Plaza Asia - 27th Floor Jalan Jenderal Sudirman Kav. 59 RT. 5 RW. 3, Senayan, Kec. Kebayoran Bar, Jakarta",https://www.abdainsurance.co.id,62 21 5140 1688,"PT Asuransi Bina Dana Arta Tbk operates as a general insurance company in Indonesia. The company offers motor vehicles, fire, personal accident and health, transportation, liability, engineering, marine cargo, heavy equipment, home, property, travel, and other insurance products. It also engages in the motor vehicle workshop and repair business. The company was founded in 1982 and is headquartered in Jakarta, Indonesia. PT Asuransi Bina Dana Arta Tbk is a subsidiary of Mapfre Internacional SA.",620806680,Financial Services,Insurance—Property & Casualty
ABMM,ABM Investama Tbk.,"Gedung TMT 1 - 18th Floor Suite 1802 Jl. Cilandak KKO No. 1, Jakarta Selatan",https://www.abm-investama.com,62 21 2997 6767,"PT ABM Investama Tbk, together with its subsidiaries, operates in the energy resources, energy services, and energy infrastructure sectors in Indonesia. It operates in three segments: Mining Contractors and Coal Mining, Services, and Fabrication. The company owns coal mining concessions; supplies fuel for mining process; and supports engineered product and manufacturing services for mining activities. It offers port management services, which include technical and operational management services for handling, storing, loading and unloading operations; stevedoring and seaport services; warehousing management solutions for storage, inventory management, and distribution; freight management services; transportation management services for overweight and oversized items, such as transportation of heavy equipment, machinery, factory equipment, and power plants; integrated logistics and material management services for resource and energy industry, including drilling, exploration, and production activities. It also provides business management consulting services, including planning and designing the framework of developing business management in mining, energy, engineering, industry, oil, gas and geothermal energy, energy resources, and other consulting services; and rents offices and residential areas, as well as heavy equipment in mining and other industries. In addition, the company engages in the trade of petroleum; provides electricity solutions; manufactures equipment for heavy equipment and material transportation; and produces low calorific thermal coal. The company was formerly known as PT Adiratna Bani Makmur and changed its name to PT ABM Investama Tbk in August 2009. The company was founded in 2006 and is based in South Jakarta, Indonesia. PT ABM Investama Tbk is a subsidiary of Valle Verde Pte. Ltd.",2753165000,Energy,Thermal Coal
ACES,Ace Hardware Indonesia Tbk.,"Kawan Lama Building - 5th floor Jalan Puri Kencana No. 1 PuriKembangan, Jakarta",https://www.acehardware.co.id,62 21 582 2222,"PT Ace Hardware Indonesia Tbk, together with its subsidiaries, engages in the retail of household appliances and lifestyle products in Indonesia. It operates through Home Improvement Products, Lifestyle Products, and Toys Products segments. As of December 31, 2021, it operated 216 retail outlets located in Jakarta, Tangerang, Cilegon, Bekasi, Karawang, Bogor, Depok, Cirebon, Bandung, Sumedang, Tasikmalaya, Gresik, Yogyakarta, Semarang, Solo, Purwokerto, Tegal, Surabaya, Malang, Jember, Kediri, Madiun, Aceh, Bali, Medan, Batam, Padang, Pekan Baru, Palembang, Jambi, Bengkulu, Lampung, Balikpapan, Makassar, Banjarmasin, Pontianak, Manado, Maluku, Samarinda, Kupang, Lombok, Kendari, Pangkal Pinang, Mojokerto, Gorontalo, and Riau. The company was formerly known as PT Ace Indoritel Perkakas and changed its name to PT Ace Hardware Indonesia Tbk in August 2001. The company was founded in 1995 and is headquartered in Jakarta, Indonesia. PT Ace Hardware Indonesia Tbk is a subsidiary of PT Kawan Lama Sejahtera.",17150000000,Consumer Cyclical,Specialty Retail
ACST,Acset Indonusa Tbk.,"ACSET Building - JL. Majapahit No. 26 Petojo Selatan-Gambir, Jakarta",https://www.acset.co,62 21 351 1961,"PT Acset Indonusa Tbk provides construction and related support services in Indonesia. The company operates through Construction, Construction Support Services, and Trading segments. It builds office blocks, mall and shopping area, hotel and residential, industrial building, and other projects, as well as silos, power plants, and toll-roads. The company also undertakes demolition, foundation, building and civil construction, and infrastructure projects, as well as mechanical, electrical, and plumbing works; and provides construction support services. In addition, it is involved in the wholesale of heavy equipment. The company was incorporated in 1995 and is based in Jakarta, Indonesia. PT Acset Indonusa Tbk is a subsidiary of PT Karya Supra Perkasa.",12675160000,Industrials,Engineering & Construction
ADCP,Adhi Commuter Properti Tbk.,NULL,NULL,NULL,NULL,22222222200,NULL,NULL
ADES,Akasha Wira International Tbk.,"Perkantoran Hijau Arkadia Tower C - Lantai 15 Jalan Letjen. T. B. Simatupang Kav. 88, Jakarta",https://www.akashainternational.com,62 21 2754 5000,"PT Akasha Wira International Tbk manufactures and distributes bottled drinking water and cosmetic products in Indonesia and internationally. It provides bottled drinking water under the Nestle Pure Life and Vica Royal brands; soy milk under the Pureal brand; and beauty care products, such as hair energy and hair recovery products under the Makarizo and Wella brand. The company was founded in 1985 and is headquartered in Jakarta, Indonesia. PT Akasha Wira International Tbk is a subsidiary of Water Partners Bottling S.A.",589896800,Consumer Defensive,Beverage - Non-Alcoholic
ADHI,Adhi Karya (Persero) Tbk.,"Gedung Harmonis - Jl. Raya Pasar Minggu KM. 18, Jakarta",https://adhi.co.id,62 21 797 5312,"PT Adhi Karya (Persero) Tbk primarily engages in the construction business in Indonesia. The company operates through five segments: Construction; Engineering, Procurement and Construction (EPC), Property/Real Estate; Infrastructure and Investment; and Railway infrastructure and Facilities Operator. The Construction segment undertakes the construction of civil works and high-rise buildings, including public facilities, such as airports, ports and docks, roads and bridges, dams and irrigation channels, and others. The EPC segment engages in the energy business comprising development of oil and gas infrastructure, power plants, oil refinery, petrochemical, mineral industry, and other industries. The Property/Real Estate segment develops high-rise building areas for commercial, office and residential use (apartments), and hotels. This segment also develops residential areas, landed houses, office houses, shop houses, and shopping centers in land development and in developing residential designs. The Infrastructure and Investment segment engages in infrastructure and investment industry activities, including manufacturing of materials and components for finished products of construction, such as precast and ready-mix concrete. The Railway infrastructure and Facilities Operator segment engages in the EPC activities in the railway sector. It is also involved in the general trading; goods procurement; and hotel service activities, as well as drinking water and mineral water industry. The company was formerly known as PN Adhi Karya and changed its name to PT Adhi Karya (Persero) Tbk in 1974. PT Adhi Karya (Persero) Tbk was founded in 1960 and is headquartered in Jakarta, Indonesia.",3560849376,Industrials,Engineering & Construction
ADMF,Adira Dinamika Multi Finance Tbk.,"Millennium Centennial Center Building - Lt. 53-61, Jl. Gen. Sudirman Kav. 25 Setiabudi Rubber South, Jakarta Selatan",https://adira.co.id,62 21 3973 3232,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. The company offers financing services for new and used motorcycles and cars. It also provides financing for electronics, furniture, gadgets, and sharia financing. The company was founded in 1990 and is headquartered in Jakarta Selatan, Indonesia. PT Adira Dinamika Multi Finance Tbk is a subsidiary of PT Bank Danamon Indonesia Tbk.",1000000000,Financial Services,Credit Services
